from,to,distance,distance normalised by mean labelledImageArea
4,12,17.447441911290596,1.0368128757554365
6,14,18.916841296793518,1.4028454520784541
6,15,15.754899608009907,1.1787757667769854
8,10,20.45444386600414,1.307343979244547
8,16,24.34905342593456,1.5005661418997052
8,17,14.40512823702042,0.9250034701595815
10,16,12.483487424193111,0.7344568402650009
12,14,17.467237467413042,1.0741695204854524
12,19,20.718005846282036,1.1135485112973766
12,20,17.416192917108013,1.0789311729964368
14,15,13.285166488427548,0.9779463145306319
14,19,20.982820454292934,1.2782047286820353
14,21,17.560534774303054,1.1607031232615093
15,21,17.44509656827921,1.1612162906695023
15,22,16.99901721733294,1.1403176376704376
16,17,22.2991134698755,1.317139485449594
16,23,17.483751313026364,1.0295143295806455
17,22,22.42675566828895,1.3790339162141128
17,23,20.37497668663005,1.2454731836827178
19,20,15.49529391321362,0.9507535992540754
19,21,16.39581374202367,0.9302767019683958
19,26,16.775967935136567,1.0843087500739863
19,29,20.67942131000664,1.2858568461796755
19,33,23.182466516126944,1.3276105656154025
20,26,13.845598468860766,1.116522836280301
21,22,15.541374447503191,0.9518760175326763
21,29,16.728128839373365,1.1328402662548385
21,30,21.844052919345042,1.2217139495927343
22,27,18.818423979012785,1.2685847264566383
22,30,17.565965152913705,0.9878172948482835
23,27,16.022046566496318,1.072426694876591
23,34,21.570431702022304,1.3269295405741273
26,33,14.961178121954545,1.0767381792633839
27,30,20.588915847264158,1.2457152903925859
27,34,12.06961073719337,0.8173622508772225
29,30,16.177109583204793,0.9887323699329121
29,40,19.297481073165454,1.1880399916007311
30,34,22.29357164016432,1.2576613825782799
30,37,17.107883644259392,0.9301373733252059
30,40,25.71501572994899,1.3451064277394675
33,40,22.476501652683357,1.276340878790608
34,37,24.72579355107117,1.4693283546874416
34,38,13.02627797499165,0.907397487254814
37,40,19.63930219325638,1.0739096838659516
