from,to,distance,distance normalised by mean labelledImageArea
6,9,23.90419717977488,1.0574857675167457
6,22,28.412770463359358,1.3024582602565242
9,22,24.450042373080535,1.107195167980595
16,39,35.15792578851871,1.2387052443769249
16,42,41.97558828854646,1.4421938042113966
16,44,27.14214154725968,1.1615573231241594
22,42,27.19959018753962,1.0511752304245865
39,44,28.402070416288968,1.2178754190982737
39,48,40.955291386670616,1.4371787862655285
39,50,27.794941125459047,1.0244775593833546
42,46,31.377222213807887,1.0948169222415953
42,60,36.13251120492387,1.248348456241424
42,62,32.73599354595291,1.1896477181697418
44,50,24.61126286136005,1.1274430163006803
44,60,25.527531879983417,1.1019381733869027
46,56,22.740660716787577,1.0070479649459199
46,62,29.924242141058624,1.137485741668473
48,78,26.19802124188355,0.9519306741024632
50,60,28.156339357930673,1.042914179801526
50,81,34.51123824652651,1.186846754285511
50,82,32.38831621080765,1.2211728918194338
53,56,18.39394268642334,0.7660204475082512
53,85,42.98936242615196,1.537951609935999
53,89,35.811763019925706,1.4157595261404816
60,81,31.643039698521598,1.051453492985851
60,84,33.84528247172493,1.180388874940567
62,84,38.48792320783852,1.4133387190003948
62,85,28.922400430488022,1.13400352206429
62,87,37.08620983456638,1.4257145635112913
78,82,25.904060940421573,0.9680080564646177
81,82,27.66774600311097,0.9325540001369199
81,84,29.938455798253923,0.9771100593170067
81,91,37.07810828876971,1.256163379613314
81,97,28.603056272588066,1.034048968513455
82,91,33.03273287308848,1.2233109766779375
84,87,20.876946107634883,0.7426177194847409
84,97,29.325067375444085,1.1232438369528752
84,106,39.71877519831141,1.4728422206214848
85,87,27.32783837237446,1.0334621559248218
85,89,21.683108230848376,0.940448455081601
85,105,34.705076745485655,1.2940277568286997
87,105,31.271503911929045,1.145364335080733
87,106,37.546959995291104,1.4589642651855883
87,108,45.04352859744806,1.5074610373267416
89,102,22.383638566317426,0.962207041268238
91,103,26.353050790423858,1.0175318438515033
91,109,34.91462329087645,1.30430100208142
91,111,38.883812251876854,1.4697325610294087
97,106,23.60924702606153,1.0034336921480733
97,109,27.63448170523541,1.1184624699977808
102,105,35.10799724443342,1.3004262050049595
102,114,36.114579503828715,1.3403404867014963
103,111,30.181603335657115,1.1833305376109378
105,108,31.13643119723167,1.030529172912212
105,128,32.78944145189337,1.115805076687885
106,108,26.207170480778963,0.9097958510621441
106,109,27.093182597811307,1.0577259527069416
108,128,25.88779096119446,0.8141942615627908
109,129,30.398700822193312,1.2224674963452213
114,128,28.87926599545937,0.9843739621153755
