Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
5760,34.3314,34.3314,32.9099,0.45677,2.78133
5696,28.8112,28.8112,-7.97648,-42.6566,-2.08701
5824,40.4675,40.4675,-8.70165,20.1439,5.141
5568,39.6115,39.6115,41.5858,17.0801,-1.13824
5664,34.8923,34.8923,19.8036,-25.5895,3.04381
5536,36.5165,36.5165,-36.0395,36.277,-2.43527
5728,29.9619,29.9619,-45.3955,-1.39109,-4.03062
5600,29.5707,29.5707,-43.9655,-7.82587,-4.0161
5648,31.0704,31.0704,32.8097,7.27181,2.84515
5776,23.4318,23.4318,15.5947,-1.3093,6.57669
5520,45.8205,45.8205,24.2359,39.1,-2.56151
5712,36.2997,36.2997,42.6709,23.4498,-2.98912
5840,24.699,24.699,26.653,28.4503,1.01503
5584,7.69336,7.69336,-6.09374,51.2147,-5.07385
5808,46.9252,46.9252,-14.0511,-5.15088,6.43399
5744,16.4902,16.4902,-34.8269,-28.5245,-5.37881
5616,39.2836,39.2836,48.1819,-17.2312,-4.51352
5768,35.4769,35.4769,35.716,18.9648,0.572014
5512,17.0494,17.0494,1.87467,48.5076,-4.95696
5704,26.1814,26.1814,-5.93347,30.323,2.92011
5832,23.5283,23.5283,25.6173,-35.6917,-1.07893
5576,38.7314,38.7314,24.1565,23.5056,2.71641
5672,19.9569,19.9569,-19.7943,32.8114,0.291169
5800,48.0634,48.0634,40.913,-31.8137,-4.3214
5544,50.3675,50.3675,-31.4342,50.093,-0.693059
5736,33.4118,33.4118,-43.3787,3.86194,-2.65761
5864,48.7974,48.7974,24.1833,-14.8375,3.92446
5608,4.41965,4.41965,-42.0188,15.1723,-4.96538
5656,30.7384,30.7384,1.74959,18.0552,6.41571
5784,45.4326,45.4326,38.2885,5.13616,1.10999
5848,41.5947,41.5947,-1.55863,-15.7729,6.23674
5816,40.5454,40.5454,20.4345,29.6691,1.98693
5560,38.7033,38.7033,17.0656,-21.1056,4.40026
5624,50.7602,50.7602,46.2089,12.3504,-2.38523
5636,19.9135,19.9135,-30.8796,23.2424,-0.825105
