Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1408,0.0,pavement cell,-10.0797,-21.2072,5.61581
1600,3.0,peripheral cells,28.5144,17.7032,5.43678
1472,0.0,pavement cell,1.03137,21.0028,9.87163
1440,0.0,pavement cell,4.80684,-16.7526,7.97994
1488,0.0,pavement cell,24.0493,-12.0151,4.98645
1456,3.0,peripheral cells,-25.7259,-15.6988,5.94571
1392,0.0,pavement cell,-15.9574,-11.8812,9.11255
1480,0.0,pavement cell,-22.7985,-10.3711,8.83612
1576,0.0,pavement cell,-9.56643,21.718,9.40029
1384,0.0,pavement cell,-1.34131,30.7333,6.86032
1624,0.0,pavement cell,-1.35281,5.8745,12.1593
1496,0.0,pavement cell,-1.30554,14.2768,11.0944
1528,0.0,pavement cell,12.3122,8.65809,10.7875
1444,3.0,peripheral cells,-28.6133,11.0576,9.25124
1508,0.0,pavement cell,-18.4951,1.30794,11.3211
1364,0.0,pavement cell,3.46193,26.7245,8.31499
1492,0.0,pavement cell,-22.5601,7.69484,10.627
1460,3.0,peripheral cells,30.4608,8.23965,4.98957
1524,3.0,peripheral cells,-15.8321,28.8822,5.59916
1548,4.0,cells without contour,-0.0761667,38.8759,2.7368
1420,3.0,peripheral cells,-8.76213,34.2784,4.28279
1596,0.0,pavement cell,16.1401,-11.5266,8.33544
1532,3.0,peripheral cells,9.94743,34.5863,4.50033
1538,0.0,pavement cell,26.968,4.14374,6.47982
1442,0.0,pavement cell,3.73906,-6.75735,11.1225
1378,0.0,pavement cell,-20.8548,13.2096,10.0152
1506,0.0,pavement cell,8.07414,30.1356,6.61856
1618,0.0,pavement cell,-5.38795,0.570826,12.3451
1522,0.0,pavement cell,-15.2118,8.19229,11.3631
1418,0.0,pavement cell,-10.1204,8.11664,11.7897
1482,0.0,pavement cell,7.19661,18.2874,10.0048
1626,3.0,peripheral cells,17.5728,30.28,5.315
1594,0.0,pavement cell,26.9169,-2.06024,5.9255
1530,0.0,pavement cell,9.90095,20.8566,9.12357
1446,0.0,pavement cell,4.35013,5.95996,11.8984
1510,3.0,peripheral cells,32.9432,13.4513,3.90521
1430,0.0,pavement cell,-2.85055,-14.5118,9.05837
1494,3.0,peripheral cells,-21.8793,26.2529,4.79613
1462,3.0,peripheral cells,-26.3458,14.6762,8.77936
1526,3.0,peripheral cells,1.14987,35.4177,4.64212
1614,0.0,pavement cell,-2.62034,-21.5524,5.78724
1518,0.0,pavement cell,19.694,-6.02448,8.41134
1438,0.0,pavement cell,19.37,6.87075,9.29535
1598,0.0,pavement cell,-5.86896,6.74395,12.0905
1537,0.0,pavement cell,-13.087,-0.874802,11.7014
1409,0.0,pavement cell,-11.4471,-8.06927,10.7111
1601,0.0,pavement cell,14.5445,26.7455,6.72273
1441,0.0,pavement cell,-28.9043,-9.18022,8.33654
1553,0.0,pavement cell,-32.1352,-7.277,8.14215
1361,0.0,pavement cell,-30.8648,-1.08142,9.55671
1417,3.0,peripheral cells,-36.0422,3.8298,7.89139
1481,0.0,pavement cell,-25.286,-3.21544,10.312
1577,0.0,pavement cell,-9.01274,28.4925,7.16583
1369,0.0,pavement cell,5.02975,-22.4921,5.12512
1497,0.0,pavement cell,9.07376,-10.6606,9.8171
1401,0.0,pavement cell,25.2984,15.4706,6.54757
1529,3.0,peripheral cells,25.8277,-17.1742,1.98119
1541,3.0,peripheral cells,24.9093,23.3997,5.81774
1573,0.0,pavement cell,-6.99661,-9.84291,10.5854
1445,0.0,pavement cell,3.74841,1.2572,12.0457
1381,3.0,peripheral cells,33.6038,3.11791,2.6168
1557,3.0,peripheral cells,-9.92788,-24.8648,3.68181
1621,0.0,pavement cell,-5.54143,15.9401,10.7981
1493,0.0,pavement cell,-21.2029,19.9865,8.00097
1589,0.0,pavement cell,27.7869,-6.8483,4.41423
1461,3.0,peripheral cells,-1.31421,-25.8173,3.72172
1397,0.0,pavement cell,11.6765,-3.57686,10.8003
