Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1536,41.0069,41.0069,20.8168,-29.2806,6.71841
1408,58.0038,58.0038,10.3581,-0.593681,14.9221
1600,41.0479,41.0479,-15.1568,27.0091,8.66094
1472,43.8927,43.8927,-39.3673,5.05862,2.96756
1568,43.5246,43.5246,-19.7993,17.5875,10.8251
1312,41.0186,41.0186,-11.1613,-29.5128,7.55959
1440,36.6695,36.6695,13.8822,-27.2074,10.2242
1632,21.7252,21.7252,27.8506,-15.1243,8.37673
1376,47.571,47.571,7.62626,17.7573,13.1861
1552,17.9061,17.9061,-24.7913,1.41264,11.6058
1296,37.1149,37.1149,19.3831,4.60089,13.1138
1680,20.1576,20.1576,-34.7194,-27.9597,2.03233
1360,45.0545,45.0545,0.360922,-30.4015,8.88469
1328,24.9522,24.9522,-5.47671,42.8418,3.48112
1648,29.8276,29.8276,-5.99206,-20.8736,12.0335
1264,38.5241,38.5241,-41.8937,0.108588,1.23703
1544,36.3998,36.3998,-25.6592,31.5533,1.54814
1608,23.5199,23.5199,-14.5449,35.8179,4.50084
1480,23.1181,23.1181,15.0954,3.75344,14.2176
1576,32.7492,32.7492,3.58478,-3.15112,15.2553
1320,25.5106,25.5106,3.52849,30.6491,9.42058
1640,40.3978,40.3978,-8.46034,26.5416,10.5385
1512,31.8154,31.8154,-30.804,-3.33304,8.90903
1432,33.3838,33.3838,12.324,-36.7006,3.66171
1368,20.9108,20.9108,9.67746,-8.50589,14.955
1496,36.6296,36.6296,-33.7631,-10.8203,6.17199
1592,25.9159,25.9159,-16.3708,-25.1998,8.76924
1336,21.6567,21.6567,-2.90258,23.2172,12.3359
1540,33.1247,33.1247,-25.0446,-2.77638,11.3375
1604,39.6292,39.6292,-14.1377,-37.8962,0.407627
1348,25.3612,25.3612,6.6987,3.58329,15.046
1476,21.092,21.092,1.89371,-39.7338,0.712105
1572,51.3816,51.3816,23.8944,-15.9691,9.96026
1444,46.8718,46.8718,12.9549,-17.2845,13.3544
1636,40.1997,40.1997,-9.01271,9.36189,14.7735
