Label,Cell type id,Cell type name
1920,8,central cell
1744,8,central cell
1712,8,central cell
1736,8,central cell
1752,8,central cell
1860,8,central cell
1956,8,central cell
1940,8,central cell
1844,8,central cell
1804,8,central cell
1932,8,central cell
1772,8,central cell
1890,8,central cell
1762,8,central cell
1842,8,central cell
1802,8,central cell
1642,8,central cell
1958,8,central cell
1750,8,central cell
1710,8,central cell
1774,8,central cell
1833,8,central cell
1945,8,central cell
1861,8,central cell
1957,8,central cell
1909,8,central cell
1725,8,central cell
1789,8,central cell
1827,8,central cell
1763,8,central cell
1747,8,central cell
1843,8,central cell
1803,8,central cell
1931,8,central cell
1735,8,central cell
1895,8,central cell
1879,8,central cell
1711,8,central cell
