Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
109568,266.533,266.533,163.177,-279.373,-0.620764
111104,1694.53,1694.53,197.018,587.247,-4.67276
105728,792.849,792.849,-73.9319,103.192,9.9992
107264,1633.63,1633.63,69.5145,374.916,9.99918
111360,714.699,714.699,28.7248,378.522,9.99918
106112,41.0611,41.0611,571.965,-21.1918,3.66124
100736,47.4512,47.4512,-463.204,197.017,5.92193
111168,40.151,40.151,280.978,556.56,-6.15637
108864,585.752,585.752,136.427,462.669,6.03027
105792,990.775,990.775,-422.56,324.392,8.02384
107328,109.848,109.848,-308.983,5.74745,6.00109
110784,3848.72,3848.72,6.46755,356.962,9.99889
105152,388.885,388.885,-451.305,19.5424,10.1887
111040,2108.71,2108.71,208.178,136.659,5.01347
110016,2019.8,2019.8,278.322,55.5252,5.99926
107456,62.228,62.228,320.902,457.761,4.87681
111552,179.882,179.882,-239.458,190.698,9.29838
110624,3070.87,3070.87,-18.3928,6.43158,9.99905
108576,334.052,334.052,135.35,-352.714,4.06306
101408,71.5547,71.5547,-50.4485,-456.15,6.04628
100896,114.391,114.391,-440.375,180.457,5.99965
109088,85.3778,85.3778,-205.215,-427.028,1.99235
110880,283.824,283.824,-99.1043,-550.812,-5.1538
106656,1768.08,1768.08,-57.2908,395.546,9.99923
104608,374.809,374.809,18.2035,-577.032,1.07212
105632,60.0863,60.0863,291.743,498.766,5.89259
109216,141.888,141.888,-198.304,85.6784,9.99929
111008,3688.51,3688.51,238.256,-138.467,7.28191
109984,99.7928,99.7928,367.9,-162.712,2.52067
111520,34.1327,34.1327,46.9346,169.749,9.99928
110688,241.817,241.817,482.495,55.3872,5.97276
104544,83.9859,83.9859,23.1606,394.21,9.99928
104032,383.724,383.724,-528.683,-11.8598,8.96469
107872,361.076,361.076,336.134,-241.258,4.82693
103776,57.5003,57.5003,-553.627,-71.8165,1.47853
107232,1472.41,1472.41,432.505,37.9114,6.36032
111328,32.9345,32.9345,146.614,67.7301,9.99928
109280,324.979,324.979,463.765,21.3155,5.99956
106208,166.257,166.257,514.945,-426.119,-12.3424
111072,55.4506,55.4506,-89.0848,-470.319,2.41007
