Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
109568,0,266.533,163.177,-279.373,-0.620764
111104,0,1694.53,197.018,587.247,-4.67276
103936,0,288.096,-532.153,-155.669,1.28731
105728,0,792.849,-73.9319,103.192,9.9992
107264,0,1633.63,69.5145,374.916,9.99918
111360,0,714.699,28.7248,378.522,9.99918
111232,0,77.5025,-346.973,-173.215,9.99932
106112,0,41.0611,571.965,-21.1918,3.66124
100736,0,47.4512,-463.204,197.017,5.92193
108608,0,278.369,135.021,-108.681,9.99847
111168,0,40.151,280.978,556.56,-6.15637
104000,0,87.1567,-528.415,193.694,-5.92644
108864,0,585.752,136.427,462.669,6.03027
105792,0,990.775,-422.56,324.392,8.02384
107328,0,109.848,-308.983,5.74745,6.00109
110784,0,3848.72,6.46755,356.962,9.99889
101056,0,230.107,514.073,-196.254,5.97378
105152,0,388.885,-451.305,19.5424,10.1887
111040,0,2108.71,208.178,136.659,5.01347
110016,0,2019.8,278.322,55.5252,5.99926
107456,0,62.228,320.902,457.761,4.87681
111552,0,179.882,-239.458,190.698,9.29838
106528,0,204.898,441.277,-270.928,5.99956
110624,0,3070.87,-18.3928,6.43158,9.99905
108576,0,334.052,135.35,-352.714,4.06306
101408,0,71.5547,-50.4485,-456.15,6.04628
111136,0,44.6883,183.499,-576.503,1.61279
100896,0,114.391,-440.375,180.457,5.99965
109088,0,85.3778,-205.215,-427.028,1.99235
110880,0,283.824,-99.1043,-550.812,-5.1538
106656,0,1768.08,-57.2908,395.546,9.99923
104608,0,374.809,18.2035,-577.032,1.07212
105632,0,60.0863,291.743,498.766,5.89259
109216,0,141.888,-198.304,85.6784,9.99929
111008,0,3688.51,238.256,-138.467,7.28191
109984,0,99.7928,367.9,-162.712,2.52067
111520,0,34.1327,46.9346,169.749,9.99928
110688,0,241.817,482.495,55.3872,5.97276
104544,0,83.9859,23.1606,394.21,9.99928
104032,0,383.724,-528.683,-11.8598,8.96469
107872,0,361.076,336.134,-241.258,4.82693
103776,0,57.5003,-553.627,-71.8165,1.47853
