Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
37888,0,1136.64,-42.2027,-292.684,14.4857
35328,0,63.8467,-308.786,-293.277,21.0909
36352,0,557.07,376.353,-497.628,19.617
38144,0,469.31,-490.278,-165.074,23.967
37632,0,149.852,-503.171,-67.2203,19.8694
36992,0,1116.76,-546.645,0.234928,17.1329
34944,0,1236.76,190.136,-57.766,19.3114
38016,0,170.356,268.522,264.333,15.5539
31872,0,293.277,225.357,60.4371,13.6467
37504,0,171.854,-130.556,-311.991,19.6645
36224,0,959.076,245.317,-228.466,14.1313
35712,0,250.988,482.997,170.771,11.6941
34688,0,55.2094,-28.5183,312.518,22.3242
28736,0,41.3114,337.555,297.593,9.89532
37952,0,136.218,-458.891,-249.419,28.0775
37440,0,907.109,-510.848,246.391,-5.92546
29248,0,80.362,38.1454,182.954,18.9177
34112,0,1495.5,-52.0494,-512.134,25.0703
37696,0,204.706,-478.058,-203.015,26.4429
36672,0,2105.22,-177.999,-501.006,27.8982
38080,0,31.3604,410.868,-129.734,12.1295
36544,0,73.4637,268.827,68.1659,5.83662
33216,0,92.4326,-91.9025,279.346,23.9575
37312,0,1041.9,113.641,-199.727,14.5608
34240,0,213.99,325.38,-139.317,14.5016
36288,0,2538.21,-63.5917,-305.605,15.295
32192,0,49.9598,150.961,-487.163,14.9454
37824,0,48.9813,211.385,135.179,10.6635
28608,0,265.152,-103.131,-350.402,21.162
31776,0,934.661,-468.771,-238.481,28.1602
36384,0,1158.72,430.554,-83.0602,8.31644
38176,0,16.3638,262.186,52.2623,7.05751
37664,0,67.1505,-535.416,38.4377,12.795
38048,0,571.208,568.175,-324.062,14.7166
36000,0,63.0172,49.5292,562.694,2.30098
28064,0,42.7632,575.413,-178.467,18.7047
28576,0,46.5704,-37.452,266.511,21.8323
37984,0,125.108,26.9005,427.106,11.7111
29792,0,278.994,90.9904,59.1755,22.9291
37472,0,165.089,-124.755,-417.794,21.4296
35424,0,632.076,-303.817,-362.972,25.6534
36448,0,313.865,-610.872,50.6458,6.97136
37216,0,181.642,-527.542,31.1028,14.0026
35168,0,1073.88,-3.5816,-176.756,19.1806
37728,0,126.088,-257.033,-469.602,27.6988
32992,0,203.942,-599.302,57.2252,8.20219
27872,0,48.4392,152.385,-455.386,13.3913
31968,0,60.4893,129.58,-584.732,21.2433
37344,0,2324.93,470.202,377.033,12.9997
36320,0,1637.3,-237.587,457.229,21.0058
37856,0,254.494,17.1226,523.731,4.1974
35808,0,284.339,428.596,198.9,10.1938
30736,0,646.815,188.287,-380.978,11.3981
37904,0,70.6201,-422.269,-237.478,24.6057
29712,0,49.0705,261.131,47.5772,7.61585
27664,0,213.607,139.807,115.317,17.4257
37392,0,498.991,122.827,388.393,19.7174
29200,0,210.175,435.754,-332.96,15.4334
36368,0,72.4203,-611.455,35.0994,9.41786
37136,0,1278.1,522.714,-189.292,16.0663
35088,0,113.824,-329.674,-289.055,21.8335
38160,0,305.073,-64.8831,-60.6072,23.8426
37648,0,2821.07,-321.195,323.607,20.8265
35600,0,1656.75,194.666,-517.009,19.9268
36624,0,442.708,504.876,58.2465,10.7829
37008,0,1833.92,88.8376,-345.825,11.8147
33936,0,39.0333,-113.837,-335.676,20.3822
