Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
37888,1136.64,1136.64,-42.2027,-292.684,14.4857
35328,63.8467,63.8467,-308.786,-293.277,21.0909
36352,557.07,557.07,376.353,-497.628,19.617
38144,469.31,469.31,-490.278,-165.074,23.967
37632,149.852,149.852,-503.171,-67.2203,19.8694
36992,1116.76,1116.76,-546.645,0.234928,17.1329
34944,1236.76,1236.76,190.136,-57.766,19.3114
38016,170.356,170.356,268.522,264.333,15.5539
31872,293.277,293.277,225.357,60.4371,13.6467
37504,171.854,171.854,-130.556,-311.991,19.6645
36224,959.076,959.076,245.317,-228.466,14.1313
35712,250.988,250.988,482.997,170.771,11.6941
34688,55.2094,55.2094,-28.5183,312.518,22.3242
28736,41.3114,41.3114,337.555,297.593,9.89532
37952,136.218,136.218,-458.891,-249.419,28.0775
37440,907.109,907.109,-510.848,246.391,-5.92546
29248,80.362,80.362,38.1454,182.954,18.9177
34112,1495.5,1495.5,-52.0494,-512.134,25.0703
37696,204.706,204.706,-478.058,-203.015,26.4429
36672,2105.22,2105.22,-177.999,-501.006,27.8982
38080,31.3604,31.3604,410.868,-129.734,12.1295
36544,73.4637,73.4637,268.827,68.1659,5.83662
33216,92.4326,92.4326,-91.9025,279.346,23.9575
37312,1041.9,1041.9,113.641,-199.727,14.5608
34240,213.99,213.99,325.38,-139.317,14.5016
36288,2538.21,2538.21,-63.5917,-305.605,15.295
32192,49.9598,49.9598,150.961,-487.163,14.9454
37824,48.9813,48.9813,211.385,135.179,10.6635
28608,265.152,265.152,-103.131,-350.402,21.162
31776,934.661,934.661,-468.771,-238.481,28.1602
36384,1158.72,1158.72,430.554,-83.0602,8.31644
38176,16.3638,16.3638,262.186,52.2623,7.05751
37664,67.1505,67.1505,-535.416,38.4377,12.795
38048,571.208,571.208,568.175,-324.062,14.7166
36000,63.0172,63.0172,49.5292,562.694,2.30098
28064,42.7632,42.7632,575.413,-178.467,18.7047
28576,46.5704,46.5704,-37.452,266.511,21.8323
37984,125.108,125.108,26.9005,427.106,11.7111
29792,278.994,278.994,90.9904,59.1755,22.9291
37472,165.089,165.089,-124.755,-417.794,21.4296
35424,632.076,632.076,-303.817,-362.972,25.6534
36448,313.865,313.865,-610.872,50.6458,6.97136
37216,181.642,181.642,-527.542,31.1028,14.0026
35168,1073.88,1073.88,-3.5816,-176.756,19.1806
37728,126.088,126.088,-257.033,-469.602,27.6988
32992,203.942,203.942,-599.302,57.2252,8.20219
27872,48.4392,48.4392,152.385,-455.386,13.3913
31968,60.4893,60.4893,129.58,-584.732,21.2433
37344,2324.93,2324.93,470.202,377.033,12.9997
36320,1637.3,1637.3,-237.587,457.229,21.0058
37856,254.494,254.494,17.1226,523.731,4.1974
35808,284.339,284.339,428.596,198.9,10.1938
30736,646.815,646.815,188.287,-380.978,11.3981
37904,70.6201,70.6201,-422.269,-237.478,24.6057
29712,49.0705,49.0705,261.131,47.5772,7.61585
27664,213.607,213.607,139.807,115.317,17.4257
37392,498.991,498.991,122.827,388.393,19.7174
29200,210.175,210.175,435.754,-332.96,15.4334
36368,72.4203,72.4203,-611.455,35.0994,9.41786
37136,1278.1,1278.1,522.714,-189.292,16.0663
35088,113.824,113.824,-329.674,-289.055,21.8335
38160,305.073,305.073,-64.8831,-60.6072,23.8426
37648,2821.07,2821.07,-321.195,323.607,20.8265
35600,1656.75,1656.75,194.666,-517.009,19.9268
36624,442.708,442.708,504.876,58.2465,10.7829
37008,1833.92,1833.92,88.8376,-345.825,11.8147
33936,39.0333,39.0333,-113.837,-335.676,20.3822
38032,31.1832,31.1832,582.714,-99.4989,16.1819
35984,205.117,205.117,250.325,191.696,7.81279
32144,444.157,444.157,-268.907,134.551,23.3715
37776,2005.02,2005.02,560.827,-252.402,19.0514
35728,76.1868,76.1868,238.861,28.5631,11.8406
32656,248.54,248.54,254.426,-100.349,18.134
37968,42.1616,42.1616,-144.777,-81.7092,20.6737
35920,1809.36,1809.36,-263.316,-177.799,15.3532
34384,151.873,151.873,-384.188,-304.694,25.9718
37200,32.1214,32.1214,-137.231,-392.386,20.2329
29008,287.055,287.055,14.2083,-247.124,16.0705
34128,50.7968,50.7968,-56.8584,538.054,0.395785
32080,601.786,601.786,23.0156,294.812,22.8899
37712,183.046,183.046,-353.45,-267.582,22.797
29520,174.377,174.377,131.962,-504.57,16.5134
35664,225.094,225.094,168.255,-482.749,16.5226
37072,419.128,419.128,452.053,-117.29,10.2918
35024,708.719,708.719,-5.6359,198.288,20.1368
38096,22.9908,22.9908,-335.181,-113.074,10.455
36048,888.422,888.422,-463.756,-199.505,24.6218
37840,29.2462,29.2462,346.967,444.391,9.65504
36816,58.1996,58.1996,-564.102,23.8756,13.7852
32720,73.7868,73.7868,77.5378,-498.626,18.315
37936,1646.68,1646.68,-163.825,-474.665,27.5229
37424,173.148,173.148,-520.704,131.929,3.84305
30256,239.561,239.561,-429.033,-119.444,16.4195
36400,2626.28,2626.28,-222.862,-57.8586,19.8515
37168,405.289,405.289,271.39,525.906,4.16649
35632,364.767,364.767,-278.881,-128.308,15.9784
27440,38.8752,38.8752,-435.385,-0.0481333,14.1696
34608,274.334,274.334,-24.3875,-229.758,16.0377
34992,31.9291,31.9291,-341.546,-60.1119,4.45978
33968,508.239,508.239,-494.963,-145.023,22.9951
38064,39.1394,39.1394,308.218,93.5545,7.00685
29872,194.447,194.447,-559.256,151.157,-4.02236
32432,407.808,407.808,50.6556,393.493,19.3896
37296,2957.38,2957.38,595.669,-296.398,8.20049
35248,1259.55,1259.55,349.944,78.3438,10.571
37808,41.8468,41.8468,297.075,-38.7629,6.93987
35760,2141.16,2141.16,37.8221,-597.18,23.7173
36784,1357.44,1357.44,364.767,-389.938,22.2983
38000,544.393,544.393,349.381,424.479,10.9922
29808,77.8515,77.8515,-571.87,-62.217,20.7894
34416,413.17,413.17,-487.727,-74.5499,19.0203
36464,2448.74,2448.74,-392.033,-399.179,22.1545
28272,115.838,115.838,-427.374,-54.1086,14.1446
37744,246.914,246.914,-5.4486,-532.5,25.7102
35696,917.771,917.771,32.6643,410.394,14.7978
38128,375.91,375.91,-16.4456,-305.668,15.8377
31984,177.137,177.137,165.663,-317.734,12.9482
34544,859.548,859.548,-372.493,202.678,17.7102
36592,307.082,307.082,-587.735,-6.5772,18.8757
37360,884.252,884.252,516.398,-31.444,11.9918
35312,39.8008,39.8008,343.174,382.629,12.8457
37872,72.2822,72.2822,-71.2614,48.3704,24.0796
36848,275.221,275.221,-163.444,-96.5701,21.6128
37896,31.7354,31.7354,-117.218,563.507,-6.73513
29704,203.649,203.649,-592.653,-46.8776,19.4333
31752,41.8426,41.8426,3.57558,475.048,5.87316
35336,631.897,631.897,501.473,314.936,16.6821
33032,88.1189,88.1189,258.528,206.497,8.4317
37128,728.49,728.49,541.689,-232.398,18.3776
38152,45.2025,45.2025,356.957,485.429,9.61518
37640,1495.51,1495.51,-504.439,-28.7437,18.4044
35592,169.03,169.03,353.581,136.262,12.4411
37000,702.013,702.013,-164.771,484.225,12.4381
34952,215.775,215.775,423.957,-392.36,19.8288
33928,28.0803,28.0803,-119.303,-419.676,21.2933
38024,124.483,124.483,576.054,105.502,16.7904
37512,1511.56,1511.56,267.924,-568.793,18.2624
29320,233.134,233.134,-253.878,-328.68,20.8721
28296,46.2293,46.2293,-66.2796,206.289,22.0352
37256,2712.39,2712.39,420.307,280.201,13.9214
35208,306.708,306.708,-314.625,-197.632,17.4054
31112,84.0034,84.0034,189.891,432.779,19.3373
34184,56.94,56.94,417.439,-417.462,21.3361
27528,200.172,200.172,181.378,-483.96,17.2606
36744,196.768,196.768,270.478,-473.801,12.9024
37960,67.4884,67.4884,-520.069,144.323,2.81863
35912,683.352,683.352,253.513,-260.165,13.7158
37192,102.752,102.752,123.046,-455.36,12.1496
34120,216.232,216.232,178.084,90.7589,17.3796
36168,2338.42,2338.42,431.785,18.6046,9.20124
37704,1243.26,1243.26,-491.756,-251.756,30.2447
29512,166.07,166.07,540.369,143.359,15.1786
27464,49.1457,49.1457,-60.7354,-451.146,20.9243
28488,420.885,420.885,-390.421,-18.8701,10.5988
30920,64.941,64.941,-78.4741,-413.419,20.0334
38088,42.6199,42.6199,232.646,-451.399,10.6752
36552,1316.94,1316.94,147.757,133.96,14.6431
32456,243.518,243.518,244.578,306.64,16.4102
34248,440.478,440.478,-38.2655,-33.1196,24.6795
37832,18.7753,18.7753,293.63,514.886,4.93643
32712,63.6269,63.6269,71.8189,-525.875,20.5266
37928,55.6407,55.6407,-475.727,-217.056,27.5104
34344,1270.78,1270.78,509.213,-223.023,14.2943
34088,44.8613,44.8613,293.53,302.34,13.8369
36136,51.2127,51.2127,-224.568,-136.513,21.6818
37672,73.1803,73.1803,-551.408,-143.671,25.1474
30504,120.754,120.754,288.303,307.064,14.3333
32936,188.915,188.915,366.289,217.584,12.7862
38056,313.603,313.603,145.383,-583.232,20.5028
37288,154.452,154.452,115.969,-223.665,13.9816
28072,37.7883,37.7883,-576.487,-120.884,22.2643
37800,1304.76,1304.76,400.759,126.468,12.3629
30632,389.39,389.39,-48.7017,-209.35,18.1797
28584,77.8507,77.8507,470.852,-261.351,11.4916
32872,354.36,354.36,445.56,56.4563,7.20578
33896,745.196,745.196,595.754,-36.4551,19.6614
37992,30.7788,30.7788,75.3505,546.854,4.02117
35944,2281.12,2281.12,-259.08,278.904,20.8402
33384,237.806,237.806,379.483,-120.51,11.0077
37480,798.66,798.66,611.857,-22.6576,19.2692
33128,44.0171,44.0171,87.2981,-244.373,12.0219
37736,65.2487,65.2487,-130.174,-528.139,27.7876
35688,1758.03,1758.03,222.916,-280.531,16.3586
35048,43.789,43.789,143.059,292.107,20.3229
38120,404.281,404.281,362.974,-37.8024,4.88327
36072,221.311,221.311,60.6864,-560.372,23.5788
33512,40.7397,40.7397,109.096,-579.984,22.6692
34536,1828.17,1828.17,-402.831,80.8097,13.0792
36584,477.523,477.523,-179.898,46.8837,27.1497
33256,317.369,317.369,579.43,-50.2891,18.4369
35304,34.6486,34.6486,344.532,334.485,12.2949
36328,63.1593,63.1593,258.673,376.843,14.8377
33768,65.1111,65.1111,-62.5335,-379.554,20.8088
36840,2214.17,2214.17,422.604,-278.335,12.1874
33816,123.573,123.573,-64.6579,-4.66459,24.0665
35864,137.286,137.286,401.465,-496.847,17.0414
37400,492.693,492.693,382.661,-421.474,23.5618
31256,46.3059,46.3059,-349,179.406,17.6754
36376,1122.24,1122.24,509.576,-352.691,18.9959
38168,40.9847,40.9847,-64.8394,-116.706,20.1147
35608,1078.16,1078.16,459.756,345.857,18.3771
36632,1625.32,1625.32,-95.0471,246.306,23.1621
28440,59.9397,59.9397,176.128,442.606,19.5998
38040,958.866,958.866,383.417,-135.699,12.3948
35992,434.296,434.296,-221.839,-457.341,27.8406
34456,848.33,848.33,-488.909,159.17,8.94114
36504,554.942,554.942,-196.042,103.047,25.3964
28056,227.093,227.093,490.1,-44.4173,10.9006
31640,28.8536,28.8536,209.143,504.744,7.88229
28568,29.6588,29.6588,188.182,425.114,19.6483
32664,87.5029,87.5029,440.238,-364.275,17.4231
34904,55.3648,55.3648,545.283,-11.6317,12.9774
30808,130.135,130.135,-483.208,-46.8159,17.0386
37976,36.2907,36.2907,64.0842,222.185,20.1316
33368,373.781,373.781,384.752,-156.68,13.9007
36440,46.5499,46.5499,-604.366,-51.4201,17.8774
34648,400.87,400.87,334.247,-449.237,21.3516
32984,56.3895,56.3895,-598.041,-55.5346,18.9316
28888,280.424,280.424,347.294,-455.008,22.8606
35032,2666.32,2666.32,-34.8476,221.717,20.5186
37592,2226.16,2226.16,426.128,-127.712,11.1066
31448,237.284,237.284,346.321,-319.218,17.7617
36824,237.935,237.935,-167.083,-414.255,22.0422
28632,172.609,172.609,-23.4744,-174.701,20.7479
32728,43.8292,43.8292,252.125,312.72,16.1985
28728,136.032,136.032,146.043,-99.3347,20.0348
37944,24.9862,24.9862,-224.249,-345.173,20.1809
35896,538.281,538.281,243.644,-463.936,11.7078
37432,1391.36,1391.36,389.547,-382.426,20.5877
35384,1015.41,1015.41,18.0015,182.476,19.8512
31288,53.7297,53.7297,511.61,317.482,15.3561
34360,612.666,612.666,329.872,213.955,12.4952
34104,728.191,728.191,-72.8546,-523.951,26.6033
37688,34.2135,34.2135,-374.258,-112.985,14.1418
36664,1872.39,1872.39,508.299,266.655,18.7327
33976,74.2875,74.2875,510.722,-266.209,15.9222
38072,35.9335,35.9335,81.0192,38.9681,23.0068
37560,1820.02,1820.02,280.753,-399.913,8.97352
35512,204.027,204.027,220.867,266.038,13.7109
36536,806.082,806.082,-602.944,107.925,-1.07189
37304,627.567,627.567,609.27,-158.007,16.728
33720,170.125,170.125,322.782,-559.402,16.6501
37816,2225.39,2225.39,289.076,-152.41,16.7985
