Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
37888,0.0,pavement cell,-42.2027,-292.684,14.4857
35328,2.0,small cells,-308.786,-293.277,21.0909
36352,2.0,small cells,376.353,-497.628,19.617
38144,2.0,small cells,-490.278,-165.074,23.967
37632,2.0,small cells,-503.171,-67.2203,19.8694
36992,0.0,pavement cell,-546.645,0.234928,17.1329
34944,0.0,pavement cell,190.136,-57.766,19.3114
38016,2.0,small cells,268.522,264.333,15.5539
31872,2.0,small cells,225.357,60.4371,13.6467
37504,1.0,guard cell,-130.556,-311.991,19.6645
36224,0.0,pavement cell,245.317,-228.466,14.1313
35712,2.0,small cells,482.997,170.771,11.6941
34688,2.0,small cells,-28.5183,312.518,22.3242
28736,2.0,small cells,337.555,297.593,9.89532
37952,1.0,guard cell,-458.891,-249.419,28.0775
37440,0.0,pavement cell,-510.848,246.391,-5.92546
29248,2.0,small cells,38.1454,182.954,18.9177
34112,0.0,pavement cell,-52.0494,-512.134,25.0703
37696,2.0,small cells,-478.058,-203.015,26.4429
36672,0.0,pavement cell,-177.999,-501.006,27.8982
38080,2.0,small cells,410.868,-129.734,12.1295
36544,3.0,peripheral cells,268.827,68.1659,5.83662
33216,2.0,small cells,-91.9025,279.346,23.9575
37312,0.0,pavement cell,113.641,-199.727,14.5608
34240,1.0,guard cell,325.38,-139.317,14.5016
36288,0.0,pavement cell,-63.5917,-305.605,15.295
32192,1.0,guard cell,150.961,-487.163,14.9454
37824,2.0,small cells,211.385,135.179,10.6635
28608,1.0,guard cell,-103.131,-350.402,21.162
31776,0.0,pavement cell,-468.771,-238.481,28.1602
36384,0.0,pavement cell,430.554,-83.0602,8.31644
38176,3.0,peripheral cells,262.186,52.2623,7.05751
37664,2.0,small cells,-535.416,38.4377,12.795
38048,0.0,pavement cell,568.175,-324.062,14.7166
36000,2.0,small cells,49.5292,562.694,2.30098
28064,2.0,small cells,575.413,-178.467,18.7047
28576,2.0,small cells,-37.452,266.511,21.8323
37984,1.0,guard cell,26.9005,427.106,11.7111
29792,1.0,guard cell,90.9904,59.1755,22.9291
37472,2.0,small cells,-124.755,-417.794,21.4296
35424,0.0,pavement cell,-303.817,-362.972,25.6534
36448,2.0,small cells,-610.872,50.6458,6.97136
37216,1.0,guard cell,-527.542,31.1028,14.0026
35168,0.0,pavement cell,-3.5816,-176.756,19.1806
37728,2.0,small cells,-257.033,-469.602,27.6988
32992,1.0,guard cell,-599.302,57.2252,8.20219
27872,2.0,small cells,152.385,-455.386,13.3913
31968,2.0,small cells,129.58,-584.732,21.2433
37344,3.0,peripheral cells,470.202,377.033,12.9997
36320,3.0,peripheral cells,-237.587,457.229,21.0058
37856,2.0,small cells,17.1226,523.731,4.1974
35808,2.0,small cells,428.596,198.9,10.1938
30736,0.0,pavement cell,188.287,-380.978,11.3981
37904,2.0,small cells,-422.269,-237.478,24.6057
29712,3.0,peripheral cells,261.131,47.5772,7.61585
27664,2.0,small cells,139.807,115.317,17.4257
37392,2.0,small cells,122.827,388.393,19.7174
29200,1.0,guard cell,435.754,-332.96,15.4334
36368,2.0,small cells,-611.455,35.0994,9.41786
37136,0.0,pavement cell,522.714,-189.292,16.0663
35088,2.0,small cells,-329.674,-289.055,21.8335
38160,2.0,small cells,-64.8831,-60.6072,23.8426
37648,3.0,peripheral cells,-321.195,323.607,20.8265
35600,0.0,pavement cell,194.666,-517.009,19.9268
36624,2.0,small cells,504.876,58.2465,10.7829
37008,0.0,pavement cell,88.8376,-345.825,11.8147
33936,2.0,small cells,-113.837,-335.676,20.3822
38032,2.0,small cells,582.714,-99.4989,16.1819
35984,1.0,guard cell,250.325,191.696,7.81279
32144,2.0,small cells,-268.907,134.551,23.3715
37776,0.0,pavement cell,560.827,-252.402,19.0514
35728,2.0,small cells,238.861,28.5631,11.8406
32656,1.0,guard cell,254.426,-100.349,18.134
37968,2.0,small cells,-144.777,-81.7092,20.6737
35920,0.0,pavement cell,-263.316,-177.799,15.3532
34384,2.0,small cells,-384.188,-304.694,25.9718
37200,2.0,small cells,-137.231,-392.386,20.2329
29008,1.0,guard cell,14.2083,-247.124,16.0705
34128,2.0,small cells,-56.8584,538.054,0.395785
32080,0.0,pavement cell,23.0156,294.812,22.8899
37712,1.0,guard cell,-353.45,-267.582,22.797
29520,2.0,small cells,131.962,-504.57,16.5134
35664,2.0,small cells,168.255,-482.749,16.5226
37072,2.0,small cells,452.053,-117.29,10.2918
35024,0.0,pavement cell,-5.6359,198.288,20.1368
38096,2.0,small cells,-335.181,-113.074,10.455
36048,0.0,pavement cell,-463.756,-199.505,24.6218
37840,2.0,small cells,346.967,444.391,9.65504
36816,2.0,small cells,-564.102,23.8756,13.7852
32720,2.0,small cells,77.5378,-498.626,18.315
37936,0.0,pavement cell,-163.825,-474.665,27.5229
37424,1.0,guard cell,-520.704,131.929,3.84305
30256,1.0,guard cell,-429.033,-119.444,16.4195
36400,0.0,pavement cell,-222.862,-57.8586,19.8515
37168,3.0,peripheral cells,271.39,525.906,4.16649
35632,2.0,small cells,-278.881,-128.308,15.9784
27440,2.0,small cells,-435.385,-0.0481333,14.1696
34608,1.0,guard cell,-24.3875,-229.758,16.0377
34992,2.0,small cells,-341.546,-60.1119,4.45978
33968,2.0,small cells,-494.963,-145.023,22.9951
38064,2.0,small cells,308.218,93.5545,7.00685
29872,2.0,small cells,-559.256,151.157,-4.02236
32432,1.0,guard cell,50.6556,393.493,19.3896
37296,3.0,peripheral cells,595.669,-296.398,8.20049
35248,0.0,pavement cell,349.944,78.3438,10.571
37808,1.0,guard cell,297.075,-38.7629,6.93987
35760,3.0,peripheral cells,37.8221,-597.18,23.7173
36784,0.0,pavement cell,364.767,-389.938,22.2983
38000,2.0,small cells,349.381,424.479,10.9922
29808,2.0,small cells,-571.87,-62.217,20.7894
34416,2.0,small cells,-487.727,-74.5499,19.0203
36464,3.0,peripheral cells,-392.033,-399.179,22.1545
28272,2.0,small cells,-427.374,-54.1086,14.1446
37744,1.0,guard cell,-5.4486,-532.5,25.7102
35696,0.0,pavement cell,32.6643,410.394,14.7978
38128,2.0,small cells,-16.4456,-305.668,15.8377
31984,2.0,small cells,165.663,-317.734,12.9482
34544,0.0,pavement cell,-372.493,202.678,17.7102
36592,1.0,guard cell,-587.735,-6.5772,18.8757
37360,0.0,pavement cell,516.398,-31.444,11.9918
35312,2.0,small cells,343.174,382.629,12.8457
37872,2.0,small cells,-71.2614,48.3704,24.0796
36848,1.0,guard cell,-163.444,-96.5701,21.6128
37896,2.0,small cells,-117.218,563.507,-6.73513
29704,2.0,small cells,-592.653,-46.8776,19.4333
31752,2.0,small cells,3.57558,475.048,5.87316
35336,0.0,pavement cell,501.473,314.936,16.6821
33032,2.0,small cells,258.528,206.497,8.4317
37128,0.0,pavement cell,541.689,-232.398,18.3776
38152,2.0,small cells,356.957,485.429,9.61518
37640,0.0,pavement cell,-504.439,-28.7437,18.4044
35592,2.0,small cells,353.581,136.262,12.4411
37000,0.0,pavement cell,-164.771,484.225,12.4381
34952,1.0,guard cell,423.957,-392.36,19.8288
33928,2.0,small cells,-119.303,-419.676,21.2933
38024,2.0,small cells,576.054,105.502,16.7904
37512,0.0,pavement cell,267.924,-568.793,18.2624
29320,1.0,guard cell,-253.878,-328.68,20.8721
28296,2.0,small cells,-66.2796,206.289,22.0352
37256,0.0,pavement cell,420.307,280.201,13.9214
35208,1.0,guard cell,-314.625,-197.632,17.4054
31112,2.0,small cells,189.891,432.779,19.3373
34184,2.0,small cells,417.439,-417.462,21.3361
27528,1.0,guard cell,181.378,-483.96,17.2606
36744,2.0,small cells,270.478,-473.801,12.9024
37960,2.0,small cells,-520.069,144.323,2.81863
35912,0.0,pavement cell,253.513,-260.165,13.7158
37192,2.0,small cells,123.046,-455.36,12.1496
34120,1.0,guard cell,178.084,90.7589,17.3796
36168,0.0,pavement cell,431.785,18.6046,9.20124
37704,0.0,pavement cell,-491.756,-251.756,30.2447
29512,1.0,guard cell,540.369,143.359,15.1786
27464,2.0,small cells,-60.7354,-451.146,20.9243
28488,2.0,small cells,-390.421,-18.8701,10.5988
30920,2.0,small cells,-78.4741,-413.419,20.0334
38088,2.0,small cells,232.646,-451.399,10.6752
36552,0.0,pavement cell,147.757,133.96,14.6431
32456,2.0,small cells,244.578,306.64,16.4102
34248,1.0,guard cell,-38.2655,-33.1196,24.6795
37832,2.0,small cells,293.63,514.886,4.93643
32712,2.0,small cells,71.8189,-525.875,20.5266
37928,2.0,small cells,-475.727,-217.056,27.5104
34344,0.0,pavement cell,509.213,-223.023,14.2943
34088,2.0,small cells,293.53,302.34,13.8369
36136,2.0,small cells,-224.568,-136.513,21.6818
37672,2.0,small cells,-551.408,-143.671,25.1474
30504,2.0,small cells,288.303,307.064,14.3333
32936,2.0,small cells,366.289,217.584,12.7862
38056,2.0,small cells,145.383,-583.232,20.5028
37288,2.0,small cells,115.969,-223.665,13.9816
28072,2.0,small cells,-576.487,-120.884,22.2643
37800,0.0,pavement cell,400.759,126.468,12.3629
30632,2.0,small cells,-48.7017,-209.35,18.1797
28584,2.0,small cells,470.852,-261.351,11.4916
32872,1.0,guard cell,445.56,56.4563,7.20578
33896,0.0,pavement cell,595.754,-36.4551,19.6614
37992,2.0,small cells,75.3505,546.854,4.02117
35944,3.0,peripheral cells,-259.08,278.904,20.8402
33384,1.0,guard cell,379.483,-120.51,11.0077
37480,0.0,pavement cell,611.857,-22.6576,19.2692
33128,2.0,small cells,87.2981,-244.373,12.0219
37736,2.0,small cells,-130.174,-528.139,27.7876
35688,0.0,pavement cell,222.916,-280.531,16.3586
35048,2.0,small cells,143.059,292.107,20.3229
38120,2.0,small cells,362.974,-37.8024,4.88327
36072,1.0,guard cell,60.6864,-560.372,23.5788
33512,2.0,small cells,109.096,-579.984,22.6692
34536,0.0,pavement cell,-402.831,80.8097,13.0792
36584,2.0,small cells,-179.898,46.8837,27.1497
33256,1.0,guard cell,579.43,-50.2891,18.4369
35304,2.0,small cells,344.532,334.485,12.2949
36328,2.0,small cells,258.673,376.843,14.8377
33768,2.0,small cells,-62.5335,-379.554,20.8088
36840,0.0,pavement cell,422.604,-278.335,12.1874
33816,2.0,small cells,-64.6579,-4.66459,24.0665
35864,2.0,small cells,401.465,-496.847,17.0414
37400,1.0,guard cell,382.661,-421.474,23.5618
31256,2.0,small cells,-349.0,179.406,17.6754
36376,0.0,pavement cell,509.576,-352.691,18.9959
38168,2.0,small cells,-64.8394,-116.706,20.1147
35608,0.0,pavement cell,459.756,345.857,18.3771
36632,0.0,pavement cell,-95.0471,246.306,23.1621
28440,2.0,small cells,176.128,442.606,19.5998
38040,0.0,pavement cell,383.417,-135.699,12.3948
35992,2.0,small cells,-221.839,-457.341,27.8406
34456,0.0,pavement cell,-488.909,159.17,8.94114
36504,2.0,small cells,-196.042,103.047,25.3964
28056,1.0,guard cell,490.1,-44.4173,10.9006
31640,2.0,small cells,209.143,504.744,7.88229
28568,2.0,small cells,188.182,425.114,19.6483
32664,2.0,small cells,440.238,-364.275,17.4231
34904,2.0,small cells,545.283,-11.6317,12.9774
30808,2.0,small cells,-483.208,-46.8159,17.0386
37976,2.0,small cells,64.0842,222.185,20.1316
33368,1.0,guard cell,384.752,-156.68,13.9007
36440,2.0,small cells,-604.366,-51.4201,17.8774
34648,2.0,small cells,334.247,-449.237,21.3516
32984,2.0,small cells,-598.041,-55.5346,18.9316
28888,1.0,guard cell,347.294,-455.008,22.8606
35032,0.0,pavement cell,-34.8476,221.717,20.5186
37592,0.0,pavement cell,426.128,-127.712,11.1066
31448,1.0,guard cell,346.321,-319.218,17.7617
36824,2.0,small cells,-167.083,-414.255,22.0422
28632,2.0,small cells,-23.4744,-174.701,20.7479
32728,2.0,small cells,252.125,312.72,16.1985
28728,1.0,guard cell,146.043,-99.3347,20.0348
37944,2.0,small cells,-224.249,-345.173,20.1809
35896,2.0,small cells,243.644,-463.936,11.7078
37432,0.0,pavement cell,389.547,-382.426,20.5877
35384,0.0,pavement cell,18.0015,182.476,19.8512
31288,2.0,small cells,511.61,317.482,15.3561
34360,0.0,pavement cell,329.872,213.955,12.4952
34104,0.0,pavement cell,-72.8546,-523.951,26.6033
37688,2.0,small cells,-374.258,-112.985,14.1418
36664,0.0,pavement cell,508.299,266.655,18.7327
33976,1.0,guard cell,510.722,-266.209,15.9222
38072,2.0,small cells,81.0192,38.9681,23.0068
37560,0.0,pavement cell,280.753,-399.913,8.97352
35512,2.0,small cells,220.867,266.038,13.7109
36536,0.0,pavement cell,-602.944,107.925,-1.07189
37304,0.0,pavement cell,609.27,-158.007,16.728
33720,1.0,guard cell,322.782,-559.402,16.6501
37816,0.0,pavement cell,289.076,-152.41,16.7985
35768,2.0,small cells,437.132,36.0872,8.44192
34744,0.0,pavement cell,-377.047,-382.32,26.8657
38008,1.0,guard cell,244.989,331.811,15.9787
35960,3.0,peripheral cells,-97.5445,-512.031,27.4618
35192,0.0,pavement cell,332.897,-10.3275,7.16575
36216,0.0,pavement cell,244.316,-324.298,13.09
27512,2.0,small cells,513.063,-274.336,16.0502
35064,0.0,pavement cell,-24.5025,546.414,-0.671003
38136,2.0,small cells,-252.425,-213.213,16.731
36088,0.0,pavement cell,68.1228,-359.984,15.7696
34552,2.0,small cells,589.994,138.173,12.5263
29176,2.0,small cells,217.629,461.47,13.5962
35320,0.0,pavement cell,-309.575,-402.529,26.8364
33784,2.0,small cells,-422.137,-348.143,27.6774
37880,2.0,small cells,-74.0462,-52.7673,24.7189
36856,0.0,pavement cell,569.686,0.2877,16.7534
28664,2.0,small cells,-369.071,48.5953,12.1622
37892,0.0,pavement cell,-285.154,0.247478,17.5584
27652,2.0,small cells,335.167,480.279,9.48998
30212,2.0,small cells,161.298,72.9261,20.3167
30980,2.0,small cells,-25.6945,-534.315,26.4599
34052,2.0,small cells,501.994,-264.325,15.2259
38148,2.0,small cells,253.441,379.091,14.9384
32004,2.0,small cells,34.6341,-547.944,23.7502
34564,2.0,small cells,-76.4494,-384.408,20.4967
38020,1.0,guard cell,367.565,200.326,14.032
33412,3.0,peripheral cells,463.101,-462.385,12.3366
37508,1.0,guard cell,-444.192,288.353,3.92843
37252,0.0,pavement cell,117.709,-334.266,10.3297
31108,1.0,guard cell,-105.662,158.739,24.2512
33668,1.0,guard cell,535.192,-257.774,17.9342
37764,2.0,small cells,153.963,-501.177,16.9581
29572,2.0,small cells,78.1514,-470.941,16.0427
34884,0.0,pavement cell,-13.1514,518.222,1.66908
37956,2.0,small cells,-558.884,103.422,4.92295
35908,2.0,small cells,-249.79,-418.904,24.7112
27716,2.0,small cells,164.715,-584.547,20.0661
31300,2.0,small cells,-482.906,183.602,6.8167
34116,2.0,small cells,-425.639,-67.6366,14.362
37700,2.0,small cells,-504.868,-215.058,30.5319
34628,0.0,pavement cell,332.158,-417.838,20.3803
36676,0.0,pavement cell,-195.475,-418.663,23.7793
32964,1.0,guard cell,443.904,196.037,10.7674
38084,2.0,small cells,446.372,-357.801,16.8408
35524,0.0,pavement cell,6.84081,243.348,21.4609
33220,2.0,small cells,148.875,290.559,19.9293
35268,0.0,pavement cell,-75.1671,-330.584,18.3673
34756,3.0,peripheral cells,515.927,42.9996,10.5065
30660,2.0,small cells,-57.3292,69.3569,24.0554
34852,2.0,small cells,-436.247,26.7131,14.2141
37924,0.0,pavement cell,-337.732,222.379,21.7525
35876,0.0,pavement cell,314.78,360.799,13.8933
31780,2.0,small cells,-469.892,-146.518,19.938
33316,0.0,pavement cell,-76.3136,444.886,10.1982
30244,2.0,small cells,-425.315,-285.568,27.9401
31012,2.0,small cells,-77.0946,-225.944,17.7992
38180,0.0,pavement cell,136.856,-562.609,20.8859
29988,2.0,small cells,612.204,-173.031,17.041
37668,2.0,small cells,-525.167,-113.714,24.0784
35620,0.0,pavement cell,-55.9394,168.808,22.8941
37028,0.0,pavement cell,288.82,-340.094,13.9614
38052,2.0,small cells,253.258,-522.675,17.7693
36516,0.0,pavement cell,368.21,284.728,9.2449
37284,0.0,pavement cell,-446.285,-51.4826,15.4932
37796,2.0,small cells,569.699,207.442,13.9681
27556,2.0,small cells,-35.9,313.784,22.9039
36772,0.0,pavement cell,559.805,194.909,15.9607
34916,2.0,small cells,-469.001,-66.8478,16.8608
37988,2.0,small cells,-111.481,560.528,-5.90654
33380,2.0,small cells,-561.467,-64.3822,21.2104
34404,1.0,guard cell,-386.204,50.112,11.7554
37220,2.0,small cells,-528.194,68.8441,9.35847
35172,0.0,pavement cell,-29.2957,-89.5054,21.2074
34148,0.0,pavement cell,-417.289,113.351,15.1834
33636,2.0,small cells,116.115,443.621,15.7178
37732,2.0,small cells,-139.434,-504.636,27.9626
28900,2.0,small cells,-329.036,-154.814,12.6005
