Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
118784,622.689,622.689,-311.433,104.279,2.65627
120832,2110.98,2110.98,255.438,177.648,-4.23104
117248,29.6979,29.6979,-367.654,219.353,7.18304
120320,53.358,53.358,-312.276,435.455,16.137
114176,378.286,378.286,-157.85,-295.987,6.87789
120064,892.254,892.254,20.4919,373.667,-0.751079
118016,2099.67,2099.67,-54.8843,103.983,19.3909
113920,374.223,374.223,-215.591,444.122,6.94874
120576,1219.91,1219.91,322.905,-125.528,15.0657
119936,107.391,107.391,181.496,333.508,-2.44992
117888,657.888,657.888,-40.6979,-469.135,17.2776
119424,25.6398,25.6398,418.132,262.684,0.157689
117376,70.108,70.108,145.928,-409.641,-0.874385
116352,105.923,105.923,123.272,528.132,23.4501
120448,219.197,219.197,458.117,311.101,14.9809
115584,193.384,193.384,-450.703,8.58489,8.9848
120704,96.8748,96.8748,96.9632,-87.2357,25.3616
118848,42.4462,42.4462,179.373,-320.785,12.1956
115776,886.148,886.148,-114.626,-33.8129,12.339
119616,532.59,532.59,186.195,-363.575,5.02522
120640,823.501,823.501,-104.844,-461.03,20.1603
119488,27.971,27.971,6.06588,118.535,17.7378
120512,439.534,439.534,469.579,54.4061,-1.43787
118464,1799.27,1799.27,-45.3209,-34.7907,16.2719
117184,33.4414,33.4414,-366.01,-113.179,4.14179
113088,28.0541,28.0541,-337.735,-132.862,2.8508
120256,41.7573,41.7573,-535.781,109.251,19.9063
120864,19.7273,19.7273,-83.9247,-442.806,14.9429
119328,1166.19,1166.19,3.87225,-306.198,7.01134
120096,1891.44,1891.44,7.35213,490.988,16.3903
120608,64.1641,64.1641,108.586,-432.879,0.474166
119968,122.884,122.884,10.5776,123.618,17.5429
113824,281.046,281.046,25.0208,-344.218,4.07774
119456,1455.43,1455.43,-297.901,74.573,3.55031
120480,79.5897,79.5897,460.824,141.003,-2.27155
119200,106.322,106.322,173.366,323.74,-2.12668
116128,410.385,410.385,-101.616,-118.664,11.4337
120736,42.4045,42.4045,-265.882,-279.526,12.0989
115296,109.371,109.371,-137.198,-162.001,8.51525
119392,80.476,80.476,414.883,244.986,-1.67701
117344,216.345,216.345,260.449,234.981,-8.0775
120416,75.2356,75.2356,163.627,462.466,9.51472
118368,144.417,144.417,-21.3165,-304.329,6.47613
118112,19.6553,19.6553,-328.629,-173.319,7.00372
120672,247.564,247.564,-107.258,27.0019,12.8339
118624,2605.82,2605.82,356.559,371.567,12.581
119008,1834.83,1834.83,-25.1147,356.247,-0.532496
115936,321.059,321.059,-426.503,207.715,10.1188
120544,848.611,848.611,246.326,122.477,3.52368
120288,1273.88,1273.88,-323.068,342.416,8.83325
116704,903.766,903.766,122.992,-365.323,3.94927
120800,19.1409,19.1409,-490.322,146.999,10.6506
120848,1927.24,1927.24,-317.986,183.272,3.70318
115728,203.984,203.984,-114.103,-282.944,7.8027
