Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4224,1460.04,1460.04,-113.559,101.083,19.4956
4160,846.072,846.072,95.8661,-124.868,19.4956
3904,750.371,750.371,-421.161,-84.438,19.4956
3872,1466.84,1466.84,-362.785,-267.358,19.4956
4000,1795.49,1795.49,-107.973,-172.309,19.4956
3808,1235.83,1235.83,-276.74,-389.774,19.4956
3856,920.978,920.978,-56.2248,-278.037,19.4956
3984,1649.61,1649.61,-220.88,-44.9021,19.4955
4304,1900.38,1900.38,131.064,12.2869,19.4955
3792,741.691,741.691,-252.481,-454.429,19.4956
4048,1592.24,1592.24,112.961,-197.369,19.4957
3888,1100.61,1100.61,-468.231,-224.065,19.4956
4272,1320.84,1320.84,109.424,-89.8913,19.4956
4016,1026.07,1026.07,-22.5938,-373.877,19.4956
3824,530.346,530.346,-359.178,-365.337,19.4955
4232,1159.23,1159.23,124.805,-61.8333,19.4957
3976,1300.99,1300.99,-215.261,44.5405,19.4954
3912,1343,1343,-374.301,-65.8261,19.4955
3784,625.937,625.937,-222.07,-479.433,19.4955
4136,863.868,863.868,210.917,-134.114,19.4956
3880,810.645,810.645,-427.361,-298.341,19.4956
4264,136.204,136.204,-502.978,-56.7537,19.4955
4008,1221.37,1221.37,-91.001,-246.023,19.4957
4200,1432.8,1432.8,-182.739,-433.746,19.4956
3944,1397.88,1397.88,-242.4,-37.492,19.4955
3992,1712.24,1712.24,-229.347,-185.685,19.4954
3928,1107.72,1107.72,-363.806,51.3706,19.4955
4312,1552.7,1552.7,162.113,-1.63674,19.4955
14296,902.474,902.474,-457.971,-98.3919,19.4955
3896,928.413,928.413,-373.236,-164.961,19.4956
4344,495.66,495.66,-348.841,-377.978,19.4955
3832,1122.5,1122.5,-138.724,-403.364,19.4956
4088,1065.36,1065.36,-50.1281,-73.6424,19.4956
4100,1215.7,1215.7,46.342,-105.138,19.4957
3844,1212.69,1212.69,-94.8896,-400.098,19.4956
4228,1417.3,1417.3,14.0821,-20.0966,19.4956
3876,718.548,718.548,-388.607,-399.597,19.4914
4260,1155.9,1155.9,-68.4831,-413.937,19.4957
4004,1616.39,1616.39,-70.3276,-144.711,19.4956
3940,945.689,945.689,-330.124,-13.8177,19.4957
3860,1531.2,1531.2,-175.551,-217.443,19.4957
3988,1067.46,1067.46,-236.279,-143.153,19.4955
4308,1483.78,1483.78,207.604,5.15203,19.4957
14292,1273.65,1273.65,-374.53,139.308,19.4956
4052,1433.7,1433.7,157.277,-173.595,19.4956
3892,1099.83,1099.83,-418.847,-188.293,19.4956
4340,597.985,597.985,24.4439,-390.981,19.4956
3828,606.388,606.388,-339.322,-330.302,19.4956
4084,1396.16,1396.16,-125.31,-62.2819,19.4956
3852,617.176,617.176,-109.785,-325.484,19.4956
3980,995.639,995.639,-186.911,53.0184,19.4956
