Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4224,3.0,peripheral cells,-113.018,102.227,19.4951
4160,0.0,pavement cell,98.0958,-124.885,19.4956
3904,0.0,pavement cell,-423.125,-82.0523,19.4956
3872,0.0,pavement cell,-361.483,-268.911,19.4953
4000,0.0,pavement cell,-107.645,-172.833,19.4953
3808,0.0,pavement cell,-276.529,-391.033,19.4952
3856,0.0,pavement cell,-57.5977,-279.39,19.4957
3984,0.0,pavement cell,-217.649,-41.9398,19.4942
4304,3.0,peripheral cells,131.729,10.5479,19.4948
3792,0.0,pavement cell,-252.102,-454.765,19.4961
4048,3.0,peripheral cells,112.797,-199.896,19.4951
3888,3.0,peripheral cells,-468.815,-223.286,19.4954
4272,0.0,pavement cell,109.553,-89.6225,19.4953
4016,0.0,pavement cell,-21.4359,-375.098,19.4953
3824,0.0,pavement cell,-359.951,-366.564,19.4959
4232,0.0,pavement cell,121.599,-60.918,19.4956
3976,0.0,pavement cell,-214.98,43.7577,19.4943
3912,0.0,pavement cell,-375.819,-64.682,19.4953
3784,3.0,peripheral cells,-215.409,-483.512,19.4954
4136,3.0,peripheral cells,211.288,-136.617,19.4958
3880,0.0,pavement cell,-427.374,-297.614,19.4962
4264,3.0,peripheral cells,-504.306,-51.7793,19.4957
4008,0.0,pavement cell,-91.1745,-246.267,19.4951
4200,0.0,pavement cell,-185.356,-434.598,19.4948
3944,0.0,pavement cell,-240.413,-34.0885,19.4931
3992,0.0,pavement cell,-229.885,-187.838,19.4941
3928,0.0,pavement cell,-363.68,49.7336,19.4953
4312,3.0,peripheral cells,161.852,-2.73369,19.4937
14296,0.0,pavement cell,-460.103,-100.696,19.4955
3896,0.0,pavement cell,-372.871,-165.703,19.4956
4344,0.0,pavement cell,-347.839,-378.535,19.4959
3832,0.0,pavement cell,-140.185,-405.453,19.4953
4088,0.0,pavement cell,-47.9936,-74.2131,19.495
4100,0.0,pavement cell,47.3442,-103.79,19.4955
3844,0.0,pavement cell,-95.797,-399.878,19.4948
4228,3.0,peripheral cells,5.44861,-13.3571,19.4945
3876,3.0,peripheral cells,-392.113,-405.874,19.483
4260,0.0,pavement cell,-69.9753,-415.445,19.4954
4004,0.0,pavement cell,-70.8314,-144.395,19.4944
3940,0.0,pavement cell,-330.052,-12.2892,19.4957
3860,0.0,pavement cell,-178.84,-218.374,19.4953
3988,0.0,pavement cell,-235.994,-141.787,19.4947
4308,0.0,pavement cell,207.966,5.01442,19.4953
14292,0.0,pavement cell,-375.974,140.056,19.4954
4052,3.0,peripheral cells,157.636,-176.282,19.4945
3892,0.0,pavement cell,-418.299,-186.536,19.4956
4340,3.0,peripheral cells,34.0748,-389.292,19.4954
3828,0.0,pavement cell,-338.392,-329.724,19.4961
4084,3.0,peripheral cells,-127.038,-61.5919,19.4949
3852,0.0,pavement cell,-110.295,-325.606,19.4956
3980,0.0,pavement cell,-188.68,52.3453,19.4955
4172,3.0,peripheral cells,232.573,-26.2549,19.4948
3916,0.0,pavement cell,-353.384,-30.2086,19.4955
3788,3.0,peripheral cells,-341.98,-443.97,19.4802
4044,0.0,pavement cell,43.2712,-173.514,19.4953
3884,0.0,pavement cell,-385.384,-255.225,19.4885
4268,3.0,peripheral cells,-471.839,42.9068,19.4959
4012,0.0,pavement cell,-14.4411,-223.207,19.4956
4204,0.0,pavement cell,-271.893,-296.969,19.496
