Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4224,0,1406.15,-113.018,102.227,19.4951
4160,0,1039.4,98.0958,-124.885,19.4956
3904,0,926.796,-423.125,-82.0523,19.4956
3872,0,1367.17,-361.483,-268.911,19.4953
4000,0,1687.04,-107.645,-172.833,19.4953
3808,0,1162.15,-276.529,-391.033,19.4952
3856,0,953.997,-57.5977,-279.39,19.4957
3984,0,1777.07,-217.649,-41.9398,19.4942
4304,0,1650.74,131.729,10.5479,19.4948
3792,0,765.797,-252.102,-454.765,19.4961
4048,0,1698.15,112.797,-199.896,19.4951
3888,0,1093.74,-468.815,-223.286,19.4954
4272,0,1162.16,109.553,-89.6225,19.4953
4016,0,1046.13,-21.4359,-375.098,19.4953
3824,0,606.91,-359.951,-366.564,19.4959
4232,0,1233.01,121.599,-60.918,19.4956
3976,0,1321.92,-214.98,43.7577,19.4943
3912,0,1222.31,-375.819,-64.682,19.4953
3784,0,979.355,-215.409,-483.512,19.4954
4136,0,998.911,211.288,-136.617,19.4958
3880,0,787.469,-427.374,-297.614,19.4962
4264,0,327.597,-504.306,-51.7793,19.4957
4008,0,1195.94,-91.1745,-246.267,19.4951
4200,0,1231.05,-185.356,-434.598,19.4948
3944,0,1516.32,-240.413,-34.0885,19.4931
3992,0,1551.47,-229.885,-187.838,19.4941
3928,0,1162.18,-363.68,49.7336,19.4953
4312,0,1380.66,161.852,-2.73369,19.4937
14296,0,1052.01,-460.103,-100.696,19.4955
3896,0,1011.93,-372.871,-165.703,19.4956
4344,0,530.182,-347.839,-378.535,19.4959
3832,0,1213.56,-140.185,-405.453,19.4953
4088,0,1150.7,-47.9936,-74.2131,19.495
4100,0,1270.46,47.3442,-103.79,19.4955
3844,0,1379.42,-95.797,-399.878,19.4948
4228,0,2120.67,5.44861,-13.3571,19.4945
3876,0,1112.39,-392.113,-405.874,19.483
4260,0,1199.78,-69.9753,-415.445,19.4954
4004,0,1542.72,-70.8314,-144.395,19.4944
3940,0,971.932,-330.052,-12.2892,19.4957
3860,0,1577.11,-178.84,-218.374,19.4953
3988,0,1133.87,-235.994,-141.787,19.4947
4308,0,1367.3,207.966,5.01442,19.4953
14292,0,1332.47,-375.974,140.056,19.4954
4052,0,1395.92,157.636,-176.282,19.4945
3892,0,974.672,-418.299,-186.536,19.4956
4340,0,1080.91,34.0748,-389.292,19.4954
3828,0,649.25,-338.392,-329.724,19.4961
4084,0,1431.6,-127.038,-61.5919,19.4949
3852,0,1055.15,-110.295,-325.606,19.4956
3980,0,1124.69,-188.68,52.3453,19.4955
4172,0,1385.27,232.573,-26.2549,19.4948
3916,0,1104.33,-353.384,-30.2086,19.4955
3788,0,808.934,-341.98,-443.97,19.4802
4044,0,1530.31,43.2712,-173.514,19.4953
3884,0,1045.89,-385.384,-255.225,19.4885
4268,0,866.382,-471.839,42.9068,19.4959
4012,0,951.879,-14.4411,-223.207,19.4956
4204,0,805.309,-271.893,-296.969,19.496
3948,0,715.227,-287.214,38.7096,19.496
3820,0,1192.67,-258.147,-313.866,19.4951
3868,0,1495.68,-333.009,-222.145,19.4953
3996,0,1672.41,-182.505,-177.044,19.4953
4316,0,1627.05,264.63,62.8403,19.495
3900,0,1292.64,-440.127,-116.793,19.4941
4028,0,1027.35,32.828,-262.544,19.4957
4220,0,1316.05,-110.19,153.098,19.4951
3836,0,1305.46,-171.952,-275.913,19.4951
4098,0,1412.95,-15.3645,-87.2505,19.4937
3842,0,767.262,-314.634,-322.717,19.4963
4226,0,1421.41,-117.611,72.8423,19.4946
3874,0,1267.82,-377.563,-314.895,19.4954
4258,0,777.801,-247.762,-397.0,19.4961
4002,0,1419.48,-122.226,-114.814,19.495
3938,0,1157.22,-339.221,21.916,19.4957
3810,0,372.838,-326.841,-408.417,19.4959
3858,0,1255.69,-136.41,-260.195,19.4882
3986,0,1670.33,-249.174,-106.404,19.494
4306,0,2021.16,189.374,39.9196,19.4952
3794,0,983.229,-190.095,-465.623,19.4956
14290,0,1300.53,-378.023,169.196,19.495
4050,0,1724.69,122.341,-125.262,19.4948
4210,0,1997.93,-200.683,123.496,19.4948
3954,0,563.111,-250.724,101.753,19.4957
3826,0,652.702,-371.689,-349.663,19.4961
4082,0,1623.25,-59.7059,-101.006,19.4947
3850,0,1448.15,-60.2039,-366.413,19.4949
4234,0,1647.61,188.718,-103.506,19.4944
