Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1280,786.971,786.971,379.6,94.6617,19.4955
1152,2392.69,2392.69,205.297,-203.035,19.4955
576,2113.45,2113.45,246.722,212.558,19.4955
832,2132.76,2132.76,-84.2179,-125.809,19.4955
1216,1372.03,1372.03,400.846,51.089,19.4955
416,1676.69,1676.69,-258.228,232.54,19.4955
1120,2048.34,2048.34,122.875,-218.503,19.4955
1248,2181.8,2181.8,240.737,-347.982,19.4955
1168,2530.17,2530.17,239.501,121.605,19.4955
1232,2196.51,2196.51,138.462,-345.816,19.4955
464,1296.37,1296.37,-260.314,-119.595,19.4955
816,3106.28,3106.28,-182.479,87.3407,19.4954
944,1341.99,1341.99,395.892,-25.4848,19.4955
1264,1311.56,1311.56,359.853,-282.306,19.4955
648,1457.49,1457.49,275.092,59.7753,19.4955
1224,3024.62,3024.62,155.651,17.1541,19.4954
712,2651.87,2651.87,46.1332,4.37483,19.4954
968,1418.98,1418.98,-161.002,17.38,19.4955
1128,1026.97,1026.97,422.263,-101.614,19.4955
744,1145.77,1145.77,-210.225,20.9312,19.4955
792,543.844,543.844,205.044,323.771,19.4955
1176,2199.95,2199.95,121.46,-36.2101,19.4955
344,777.066,777.066,425.239,-33.0637,19.4955
856,1115.71,1115.71,325.312,142.029,19.4955
1240,668.416,668.416,236.335,-453.771,19.4955
1080,2501,2501,186.745,-165.597,19.4954
568,2599.05,2599.05,20.2311,57.3654,19.4954
632,940.58,940.58,-223.478,316.369,19.4955
1272,830.334,830.334,-292.603,-178.857,19.4955
504,950.259,950.259,403.947,-190.662,19.4955
1156,2595.84,2595.84,201.668,-95.6909,19.4954
644,2053.19,2053.19,-18.2567,318.478,19.4955
388,2236.82,2236.82,-23.4532,124.792,19.4955
1092,1255.01,1255.01,111.069,39.1301,19.4955
836,1585.27,1585.27,80.9163,208.738,19.4955
1060,1223.15,1223.15,-145.964,-210.275,19.4955
548,3055.89,3055.89,157.656,99.1578,19.4954
1188,1428.27,1428.27,-34.3062,160.054,19.4955
932,2099.69,2099.69,79.8264,-212.947,19.4955
1252,814.096,814.096,302.013,-350.935,19.4955
740,827.401,827.401,321.353,171.706,19.4955
1044,2026.88,2026.88,107.48,-314.495,19.4955
532,2680.9,2680.9,9.07018,-99.1542,19.4954
