Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1280,3.0,peripheral cells,383.751,97.7986,19.4952
1152,0.0,pavement cell,203.786,-202.534,19.4952
576,0.0,pavement cell,246.547,212.764,19.4952
832,0.0,pavement cell,-81.7138,-124.527,19.4952
1216,3.0,peripheral cells,403.147,53.9774,19.4955
416,3.0,peripheral cells,-263.546,232.885,19.4953
1120,0.0,pavement cell,120.595,-217.103,19.4952
1248,0.0,pavement cell,242.697,-344.733,19.495
1168,0.0,pavement cell,240.161,124.781,19.495
1232,0.0,pavement cell,138.392,-346.67,19.4953
464,3.0,peripheral cells,-261.112,-114.887,19.4956
816,0.0,pavement cell,-181.064,86.5161,19.495
944,0.0,pavement cell,395.111,-22.8551,19.4955
1264,3.0,peripheral cells,360.832,-278.06,19.4956
648,0.0,pavement cell,274.361,57.3533,19.4955
1224,0.0,pavement cell,157.181,18.5066,19.495
712,0.0,pavement cell,45.6894,7.37652,19.4951
968,0.0,pavement cell,-160.511,17.6833,19.4955
1128,3.0,peripheral cells,422.979,-101.975,19.4951
744,3.0,peripheral cells,-218.13,18.8335,19.4956
792,3.0,peripheral cells,203.191,322.607,19.4956
1176,0.0,pavement cell,122.152,-34.9737,19.4948
344,3.0,peripheral cells,426.087,-32.2135,19.4956
856,0.0,pavement cell,324.884,143.587,19.4952
1240,3.0,peripheral cells,237.531,-456.631,19.4954
1080,0.0,pavement cell,188.924,-167.432,19.495
568,0.0,pavement cell,16.0679,58.7412,19.4951
632,3.0,peripheral cells,-219.068,331.872,19.4954
1272,3.0,peripheral cells,-292.621,-178.743,19.4952
504,3.0,peripheral cells,405.378,-191.044,19.4954
1156,0.0,pavement cell,200.481,-100.719,19.4951
644,0.0,pavement cell,-18.0353,319.098,19.4953
388,0.0,pavement cell,-23.4334,123.533,19.4952
1092,0.0,pavement cell,110.919,37.2008,19.4955
836,0.0,pavement cell,83.165,209.526,19.4954
1060,0.0,pavement cell,-144.658,-211.865,19.4954
548,0.0,pavement cell,156.356,99.5383,19.4952
1188,0.0,pavement cell,-32.5901,159.087,19.4953
932,0.0,pavement cell,80.2523,-214.682,19.4952
1252,0.0,pavement cell,306.632,-350.086,19.4956
740,0.0,pavement cell,318.043,175.227,19.4953
1044,0.0,pavement cell,107.639,-312.131,19.4949
532,0.0,pavement cell,3.1479,-99.1589,19.4951
788,0.0,pavement cell,262.457,89.9017,19.4955
1172,0.0,pavement cell,-102.341,-174.782,19.4955
852,0.0,pavement cell,330.563,49.1801,19.4952
1236,3.0,peripheral cells,143.699,-423.307,19.4954
564,3.0,peripheral cells,443.602,-101.425,19.4954
820,0.0,pavement cell,-190.161,263.519,19.4951
1204,0.0,pavement cell,129.529,279.694,19.4948
692,3.0,peripheral cells,-64.8457,-265.139,19.4953
1140,3.0,peripheral cells,356.751,167.494,19.4952
1268,3.0,peripheral cells,408.73,-234.555,19.4954
524,0.0,pavement cell,304.988,-131.085,19.4954
652,3.0,peripheral cells,18.3687,415.245,19.4955
844,0.0,pavement cell,-88.9611,66.8338,19.495
1068,0.0,pavement cell,101.84,317.99,19.4956
812,0.0,pavement cell,-181.084,-239.687,19.4952
428,0.0,pavement cell,278.504,141.134,19.4955
940,0.0,pavement cell,404.79,-63.4398,19.4954
1260,0.0,pavement cell,340.382,-101.516,19.4956
540,0.0,pavement cell,-98.3448,162.995,19.4954
1180,0.0,pavement cell,-113.371,43.0206,19.495
668,0.0,pavement cell,-220.16,181.183,19.4953
1244,0.0,pavement cell,219.677,-413.3,19.4954
1084,3.0,peripheral cells,342.638,211.951,19.4956
700,3.0,peripheral cells,278.401,239.8,19.4947
124,3.0,peripheral cells,45.322,430.468,19.4953
892,0.0,pavement cell,51.95,282.534,19.495
764,0.0,pavement cell,-177.248,189.223,19.4954
1026,0.0,pavement cell,90.2745,-83.7642,19.4952
