Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
841728,237.688,237.688,-199.575,77.2239,1
842240,49.25,49.25,-112.326,-181.349,1
841984,521.273,521.273,104.473,-1.5252,1
842496,624.875,624.875,-179.345,-154.096,1
841856,545,545,47.6755,159.739,1
842368,207.875,207.875,198.865,-109.814,1
841792,526.25,526.25,-103.294,89.085,1
842304,113,113,81.5669,-250.986,1
842048,145,145,129.477,-45.0349,1
841920,113.563,113.563,159.073,144.913,1
842432,64.625,64.625,-96.2901,-271.096,1
842688,318.25,318.25,67.3018,-132.233,1
841664,338.938,338.938,88.3604,262.976,1
841760,516.688,516.688,-158.091,120.143,1
842528,211.063,211.063,-214.341,97.6186,1
841888,506,506,226.867,245.733,1
842400,169.625,169.625,-102.772,-225.169,1
842144,376.188,376.188,-197.654,-122.787,1
841632,521.938,521.938,50.038,365.165,1
841824,228.438,228.438,-177.376,45.2179,1
842336,188.625,188.625,139.18,-224.653,1
842080,465.203,465.203,237.417,21.6146,1
842592,518.75,518.75,112.311,-263.781,1
841952,127.438,127.438,75.1254,63.7183,1
842464,255.25,255.25,-161.505,-307.038,1
841696,96.2266,96.2266,-15.8392,332.495,1
842256,729.438,729.438,-39.403,-257.889,1
841872,18.75,18.75,137.917,194.4,1
842640,68.4375,68.4375,-28.4175,-135.438,1
841808,18.375,18.375,-21.4036,99.4761,1
842320,401.914,401.914,3.02593,-272.95,1
842064,386.063,386.063,134.663,-77.6286,1
842576,585.512,585.512,233.676,-4.10857,1
841936,131.5,131.5,169.639,63.7478,1
842448,112.227,112.227,5.90593,-311.02,1
842192,221.938,221.938,-107.549,-160.219,1
841680,104.875,104.875,-49.7714,219.157,1
842288,76.6875,76.6875,31.6709,-235.352,1
842032,167.563,167.563,32.0577,-35.7618,1
842544,173.313,173.313,165.738,238.631,1
842160,214.875,214.875,-217.665,-144.434,1
842672,225,225,-85.8868,-264.975,1
841648,642.75,642.75,83.2646,283.48,1
841840,145.07,145.07,-26.586,21.8103,1
842352,71.375,71.375,91.0523,-162.185,1
842096,109.625,109.625,-18.3318,-80.6599,1
842608,538.75,538.75,-72.6205,-177.244,1
841712,521.688,521.688,-64.2031,157.617,1
841736,329.938,329.938,-196.472,49.1932,1
842248,780.359,780.359,5.79225,-240.219,1
