Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
841728,242.375,242.375,-199.233,77.1781,0.999999
842752,52.625,52.625,-158.833,98.8333,0.999999
842240,47.25,47.25,-112.372,-181.509,0.999999
841984,568.25,568.25,104.578,-2.40629,0.999999
842496,671.5,671.5,-179.277,-155.232,0.999999
841856,497.5,497.5,47.0538,159.725,0.999999
842368,191.5,191.5,199.046,-109.464,0.999999
841792,505.937,505.937,-104.735,89.4395,0.999999
842304,109.875,109.875,81.4442,-250.87,0.999999
842048,100.938,100.938,130.82,-46.0524,0.999999
841920,85.5625,85.5625,160,144.869,0.999999
842432,56.375,56.375,-96.0331,-270.949,0.999999
842688,279.25,279.25,68.5857,-131.605,0.999999
841664,363.5,363.5,87.4242,262.861,0.999999
841760,464.563,464.563,-156.781,120.892,0.999999
842016,37.8125,37.8125,-111.304,-19.5069,0.999999
842528,190.375,190.375,-213.857,98.4383,0.999999
841888,332.312,332.312,224.487,244.969,0.999999
842400,178.188,178.188,-102.846,-225.278,0.999999
842144,413.688,413.688,-197.262,-122.853,0.999999
842656,46.5,46.5,76.3333,141,0.999999
841632,400,400,51.9558,364.856,0.999999
841824,192.688,192.688,-177.932,45.0086,0.999999
842336,157.875,157.875,138.089,-224.482,0.999999
842080,421.063,421.063,237.346,21.0324,0.999999
842592,413.563,413.563,109.584,-263.51,0.999999
841952,106,106,76.178,63.6284,0.999999
842464,216.875,216.875,-162.106,-305.821,0.999999
842720,46.6875,46.6875,-157.5,-255.5,0.999999
841696,99.3125,99.3125,-16.1572,332.368,0.999999
842256,812.938,812.938,-39.821,-257.59,0.999999
841872,13.125,13.125,137.75,194.583,0.999999
842640,37.25,37.25,-27.25,-135.917,0.999999
841808,13.25,13.25,-21.3333,99.6667,0.999999
842320,334,334,1.35206,-271.063,0.999999
842064,387.375,387.375,134.332,-76.9633,0.999999
842576,481.125,481.125,232.698,-3.47761,0.999999
841936,76.3125,76.3125,170.243,65.7101,0.999999
842448,115.75,115.75,5.85601,-311.075,0.999999
842192,212.313,212.313,-107.853,-160.132,0.999999
842704,68.0625,68.0625,33.8611,168.028,0.999999
841680,88.875,88.875,-49.3003,219.282,0.999999
841776,71.375,71.375,-93.3986,104.986,0.999999
842288,67.5625,67.5625,30.9905,-235.453,0.999999
842032,161.25,161.25,31.9625,-35.9612,0.999999
842544,171.188,171.188,165.192,238.329,0.999999
841904,97.25,97.25,103.174,189.397,0.999999
842160,159.313,159.313,-215.218,-144.473,0.999999
842672,221.188,221.188,-85.9986,-265.284,0.999999
841648,642.813,642.813,83.0496,283.305,0.999999
841840,125.625,125.625,-26.2485,21.9345,0.999999
842352,51.75,51.75,91.1196,-162.059,0.999999
842096,105.75,105.75,-17.9558,-80.7537,0.999999
842608,537.125,537.125,-72.5285,-177.133,0.999999
841968,71.75,71.75,154.154,36.1866,0.999999
842736,160.5,160.5,-13.6501,-48.487,0.999999
841712,591.125,591.125,-64.3439,157.463,0.999999
841736,338.75,338.75,-195.979,49.2799,0.999999
842760,72.625,72.625,-133.473,-281.607,0.999999
842248,868.703,868.703,6.06085,-240.645,0.999999
842504,320.563,320.563,-92.0175,-112.25,0.999999
842376,95.25,95.25,202.015,-51.7725,0.999999
842120,207.854,207.854,-182.464,-3.20477,0.999999
841800,89.375,89.375,-101.36,69.0006,0.999999
842312,424.5,424.5,26.6504,-251.476,0.999999
842568,52.6875,52.6875,164.179,5.72064,0.999999
841928,390.25,390.25,215.812,135.161,0.999999
842696,67.8125,67.8125,158.667,183.812,0.999999
841672,582.5,582.5,-92.7001,268.123,0.999999
841768,274,274,-102.812,178.889,0.999999
842280,97.375,97.375,5.96288,-218.517,0.999999
842024,27.25,27.25,21.5,-0.833333,0.999999
842536,288.5,288.5,-4.22075,353.226,0.999999
842408,100.5,100.5,-216.21,-221.797,0.999999
842152,34.875,34.875,-237.889,-111.605,0.999999
842664,200,200,28.1592,-56.6032,0.999999
841640,602.813,602.813,180.106,293.546,0.999999
842344,294.438,294.438,90.2452,-267.676,0.999999
842600,828.875,828.875,-42.4137,-203.413,0.999999
842472,835,835,-150.333,-185.71,0.999999
842216,136.063,136.063,62.3821,-169.485,0.999999
842728,98.625,98.625,83.6949,33.5447,0.999999
841704,148.75,148.75,-141.278,187.501,0.999999
841752,87.375,87.375,-168.876,169.285,0.999999
842264,213.688,213.688,-91.312,-248.747,0.999999
