Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
842752,381.98,381.98,19.9188,-65.3479,1
256,607.313,607.313,62.047,94.703,1
128,261.094,261.094,-119.625,-167.756,1
384,103.75,103.75,-188.359,70.9302,1
64,474.781,474.781,-81.5431,-49.1685,1
320,326.409,326.409,-22.8009,15.222,1
192,250.109,250.109,26.2146,-33.6568,1
448,154.188,154.188,-159.479,108.217,1
160,478.801,478.801,7.7449,-160.845,1
416,295.844,295.844,-180.866,-193.257,1
96,363.063,363.063,-133.883,-118.691,1
352,117.219,117.219,-76.599,112.681,1
842720,80.4063,80.4063,-134.813,78.8079,1
16,116.375,116.375,-124.192,50.9283,1
272,649.063,649.063,121.968,102.917,1
144,494.496,494.496,-23.8389,-174.867,1
400,92.5,92.5,135.783,79.6405,1
80,79.75,79.75,-39.1894,-80.6271,1
208,84.6563,84.6563,44.5591,-86.1004,1
842704,70.5313,70.5313,-200.394,-93.9693,1
304,69.5,69.5,23.0938,46.8547,1
176,116.941,116.941,-15.1203,-24.2134,1
432,325.969,325.969,-109.481,147.053,1
240,65.7148,65.7148,111.967,3.29603,1
842736,115.531,115.531,61.25,42.5585,1
842760,127.947,127.947,-69.1495,-8.96248,1
264,100.75,100.75,51.5182,83.6769,1
136,338.719,338.719,-89.2471,-187.886,1
392,355.125,355.125,-161.143,-182.42,1
72,134.195,134.195,-22.7866,-57.2037,1
200,333.875,333.875,62.0217,-44.9032,1
456,696.469,696.469,90.5666,55.9131,1
842696,87.5,87.5,-184.772,-116.801,1
40,426.406,426.406,-121.405,-43.4985,1
842792,89.7188,89.7188,-40.0565,-123.045,1
296,488.121,488.121,-5.41349,77.8733,1
168,56.957,56.957,6.33,-107.396,1
360,210.5,210.5,-38.0243,101.969,1
232,208.094,208.094,105.901,39.7375,1
488,476.438,476.438,-45.8001,139.661,1
842728,74.3438,74.3438,-67.6214,131.922,1
842776,436.844,436.844,-198.346,-35.049,1
152,28.6875,28.6875,-134.477,-175.707,1
408,307.063,307.063,86.7844,-66.6152,1
88,234.281,234.281,-145.363,-107.175,1
344,86.1875,86.1875,-79.273,47.7108,1
216,78.0195,78.0195,0.410338,2.07541,1
472,179.594,179.594,-102.728,92.7633,1
842712,114.633,114.633,-157.475,18.4989,1
56,337.875,337.875,-169.291,-123.534,1
312,125.625,125.625,-51.2854,24.0075,1
440,155.969,155.969,-105.032,-24.6482,1
120,100.656,100.656,-35.0904,-129.669,1
248,78.4375,78.4375,149.284,47.7447,1
842744,91.1875,91.1875,8.2955,161.3,1
4,327.574,327.574,-190.898,17.2517,1
842756,106.188,106.188,73.3848,-41.3232,1
132,306.969,306.969,-103.089,-162.311,1
388,305.063,305.063,40.8445,-106.718,1
68,202.313,202.313,-59.5571,-47.3439,1
842692,91.0313,91.0313,-131.749,-151.74,1
292,297.957,297.957,11.1772,115.987,1
164,79.9961,79.9961,-6.53047,-106.191,1
420,43.7813,43.7813,-179.815,-181.438,1
100,54.7813,54.7813,-109.692,-120.874,1
356,116.438,116.438,-66.9398,87.3291,1
228,48.7656,48.7656,78.0393,16.7389,1
484,104.625,104.625,-30.9167,130.9,1
842724,19.375,19.375,-127.483,132.467,1
20,446.5,446.5,-105.797,28.9216,1
842772,408.625,408.625,-150.478,36.8432,1
276,128.813,128.813,65.998,166.745,1
148,88.3125,88.3125,-62.4174,-195.093,1
404,488,488,168.45,36.1614,1
212,359.948,359.948,53.5902,12.049,1
468,179.344,179.344,-172.479,-167.184,1
842708,96.0625,96.0625,-155.477,-18.2471,1
52,153.042,153.042,-59.9699,-12.1915,1
180,535.878,535.878,8.85427,-24.5579,1
436,51.9375,51.9375,-45.8725,120.391,1
116,147.25,147.25,-48.9515,-108.326,1
372,240.656,240.656,-128.87,116.561,1
244,309.25,309.25,108.1,-41.5613,1
842740,77.4688,77.4688,89.5457,122.202,1
12,289.272,289.272,-144.813,-6.7048,1
842764,29.5,29.5,-105.656,115.796,1
140,188.125,188.125,-49.7588,-170.721,1
396,199.656,199.656,-119.793,-202.22,1
76,301.031,301.031,-31.3996,-67.7174,1
332,369.313,369.313,-115.282,63.464,1
204,43.0313,43.0313,97.3443,-52.0436,1
460,206.439,206.439,45.6125,-1.62146,1
842700,81.875,81.875,-96.7361,-68.6381,1
300,575.311,575.311,11.3362,73.7678,1
172,196.164,196.164,-17.5861,-99.9084,1
108,309.125,309.125,-93.8887,-145.527,1
364,474.531,474.531,-55.0774,112.727,1
236,365.065,365.065,93.0289,12.3069,1
842732,585.188,585.188,42.3791,49.0047,1
28,90.8438,90.8438,-193.55,-61.1021,1
842780,34.5,34.5,-88.282,61.9471,1
284,87.2813,87.2813,22.261,120.801,1
156,499.883,499.883,-16.6103,-120.819,1
412,202.5,202.5,-210.067,-179.453,1
92,199.313,199.313,-157.421,-148.779,1
348,296.969,296.969,-110.913,130.133,1
220,299.289,299.289,26.5564,25.9294,1
842716,50.9375,50.9375,-193.159,77.0601,1
60,178.25,178.25,-111.555,-53.6449,1
316,358.656,358.656,-75.753,24.1663,1
188,285.281,285.281,32.0201,-88.1794,1
444,578.188,578.188,-177.37,-39.5412,1
124,51.6875,51.6875,-38.8911,-151.633,1
380,207.875,207.875,-185.116,60.0055,1
252,41.9375,41.9375,98.6071,41.513,1
842748,85.5625,85.5625,125.959,-28.3573,1
842754,126.438,126.438,25.101,-52.2146,1
130,75.7188,75.7188,-96.2886,-178.508,1
386,61.9375,61.9375,79.2974,98.7686,1
66,391.281,391.281,-55.5259,-64.6555,1
322,243.639,243.639,-10.1117,50.2536,1
194,68.3125,68.3125,33.1276,-24.2951,1
450,188.625,188.625,-170.446,97.6277,1
34,347.531,347.531,-179.739,-90.811,1
162,498.632,498.632,15.127,-120.401,1
418,52.4688,52.4688,-184.259,-171.947,1
98,65.625,65.625,-131.651,-106.143,1
354,276.313,276.313,-85.3231,89.5801,1
226,229.172,229.172,68.123,22.455,1
482,29.375,29.375,-33.0393,135.287,1
842722,191.594,191.594,-135.093,127.479,1
