Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
842752,1.0,guard cell,39.5031,158.226,1.0
512,0.0,pavement cell,2.2677,-269.446,1.0
256,3.0,peripheral cells,-71.3508,-190.65,1.0
768,3.0,peripheral cells,19.6016,149.77,1.0
128,0.0,pavement cell,-55.4135,-140.424,1.0
640,0.0,pavement cell,-225.702,142.562,1.0
384,0.0,pavement cell,138.859,-4.24465,1.0
64,2.0,small cells,-12.1851,42.2783,1.0
576,0.0,pavement cell,-269.74,74.3754,1.0
320,0.0,pavement cell,88.3802,73.2704,1.0
192,0.0,pavement cell,-229.105,-116.552,1.0
448,0.0,pavement cell,134.018,-180.931,1.0
32,0.0,pavement cell,-145.392,39.9869,1.0
842784,1.0,guard cell,-32.2846,-113.191,1.0
544,2.0,small cells,230.391,43.5094,1.0
288,0.0,pavement cell,-135.196,55.6218,1.0
160,3.0,peripheral cells,-312.231,-105.244,1.0
672,3.0,peripheral cells,-183.681,-267.414,1.0
416,0.0,pavement cell,137.667,-109.392,1.0
608,0.0,pavement cell,-89.7249,136.451,1.0
352,2.0,small cells,106.401,55.8677,1.0
224,0.0,pavement cell,-187.06,-198.806,1.0
736,0.0,pavement cell,-316.611,50.6249,1.0
480,0.0,pavement cell,117.32,-232.463,1.0
842720,1.0,guard cell,-192.631,34.1775,1.0
16,0.0,pavement cell,-236.319,46.1898,1.0
842768,1.0,guard cell,274.311,-47.9442,1.0
528,0.0,pavement cell,299.644,-101.641,1.0
272,0.0,pavement cell,-204.587,-235.038,1.0
784,2.0,small cells,-51.5817,-62.7426,1.0
144,2.0,small cells,-215.021,-19.9175,1.0
656,2.0,small cells,-99.0388,164.571,1.0
400,0.0,pavement cell,255.315,-39.6662,1.0
592,0.0,pavement cell,-227.327,121.102,1.0
336,2.0,small cells,130.287,85.7893,1.0
208,2.0,small cells,-123.859,-121.304,1.0
464,0.0,pavement cell,31.6281,-195.113,1.0
842704,1.0,guard cell,-290.262,-128.329,1.0
48,0.0,pavement cell,-110.082,8.11748,1.0
