Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
45312,0.0,pavement cell,-36.8032,-245.623,19.4962
45184,3.0,peripheral cells,435.585,219.26,19.4964
45248,0.0,pavement cell,122.941,82.5222,19.4958
41504,0.0,pavement cell,8.86071,225.462,19.4963
45472,3.0,peripheral cells,-112.494,355.472,19.4962
45280,0.0,pavement cell,391.159,-272.535,19.4959
41488,0.0,pavement cell,10.7399,138.073,19.496
45328,0.0,pavement cell,366.597,-308.338,19.4966
44304,0.0,pavement cell,424.479,138.86,19.4961
43472,0.0,pavement cell,29.7834,-322.984,19.4965
45232,3.0,peripheral cells,80.7464,304.381,19.4965
45168,0.0,pavement cell,316.629,94.4996,19.4964
45320,3.0,peripheral cells,494.076,-123.463,19.4959
45448,3.0,peripheral cells,52.1478,340.503,19.4965
45384,3.0,peripheral cells,-136.332,115.789,19.4943
45256,0.0,pavement cell,315.427,-101.69,19.4963
43048,0.0,pavement cell,200.209,134.504,19.4958
44328,0.0,pavement cell,211.126,-183.317,19.4964
45160,0.0,pavement cell,393.834,177.842,19.4963
44648,0.0,pavement cell,365.343,123.803,19.4966
45288,0.0,pavement cell,269.508,-190.27,19.4961
45336,3.0,peripheral cells,256.704,-390.053,19.4965
44824,0.0,pavement cell,168.012,-200.75,19.4958
45208,3.0,peripheral cells,157.947,272.438,19.4955
45272,0.0,pavement cell,425.024,-143.103,19.4961
45240,0.0,pavement cell,-67.1147,308.288,19.4959
44984,0.0,pavement cell,162.302,-26.0825,19.4959
45176,0.0,pavement cell,245.349,79.3313,19.4966
42488,0.0,pavement cell,-23.3435,-163.877,19.4964
44164,3.0,peripheral cells,51.1739,95.04,19.4967
45380,0.0,pavement cell,146.848,46.2828,19.4965
45252,3.0,peripheral cells,156.135,-56.3662,19.4966
45092,0.0,pavement cell,99.6898,181.992,19.4966
45348,0.0,pavement cell,-160.993,-292.527,19.4961
45156,0.0,pavement cell,337.533,-133.021,19.4959
45284,0.0,pavement cell,287.417,-245.293,19.4959
41700,0.0,pavement cell,294.78,-7.52325,19.496
45332,3.0,peripheral cells,399.466,-310.809,19.496
45460,0.0,pavement cell,155.766,15.1307,19.496
44436,0.0,pavement cell,429.132,107.87,19.4965
45236,0.0,pavement cell,27.6456,284.886,19.4966
45172,0.0,pavement cell,403.111,22.0805,19.496
43636,0.0,pavement cell,419.065,-113.985,19.4964
44404,0.0,pavement cell,275.751,141.634,19.496
45300,0.0,pavement cell,62.3915,-191.029,19.4966
45196,3.0,peripheral cells,237.499,281.285,19.4958
45452,0.0,pavement cell,333.562,-167.185,19.4966
45388,0.0,pavement cell,-109.177,264.688,19.4963
45260,0.0,pavement cell,247.764,-148.508,19.4966
45164,0.0,pavement cell,271.743,249.653,19.4966
44652,0.0,pavement cell,-54.9977,-297.421,19.4966
45292,0.0,pavement cell,146.049,-250.227,19.4966
42988,0.0,pavement cell,43.228,133.793,19.4966
44572,0.0,pavement cell,204.765,113.883,19.4959
45340,3.0,peripheral cells,129.235,-357.873,19.4958
45468,0.0,pavement cell,103.811,211.116,19.4966
42908,0.0,pavement cell,38.6186,-263.367,19.4963
45148,3.0,peripheral cells,173.987,-89.3028,19.4954
45276,0.0,pavement cell,410.41,-238.898,19.4959
45020,0.0,pavement cell,181.525,-170.387,19.4962
45244,0.0,pavement cell,14.8079,172.471,19.4961
44732,0.0,pavement cell,138.303,-275.198,19.4965
41084,0.0,pavement cell,292.02,-65.7997,19.4962
45180,0.0,pavement cell,178.778,186.961,19.4958
