from,to,distance,distance normalised by mean labelledImageArea
37289,44732,35.76601790806464,1.1955635317629194
37289,44971,30.142100958791822,0.9566202586166257
37289,44979,27.8873208510606,1.021946291460936
37289,45299,42.973233920313696,1.3539467708985715
40538,41700,28.770460039639616,1.1452295754959791
40538,44509,45.43490631552904,1.4523380883158576
40538,44582,49.506791998355155,1.572462924204179
40538,45174,19.309771261203483,0.5362642058330758
41063,44404,34.305446230737175,0.9890424152415186
41063,44569,38.367097492513025,1.0714725747290528
41063,45167,42.51535875527808,1.1012530961396603
41063,45168,42.07932798382126,1.1472829075897117
41063,45175,40.88159239131959,1.1718999725878854
41063,45176,41.931516714519155,1.0816112478175577
41084,42350,29.943868839714074,1.0540440648089158
41084,43994,33.50215691563753,0.9708527283550876
41084,44009,49.969613366925344,1.3850715992057179
41084,44158,34.28443622957799,0.9271805473960206
41084,45255,36.46108749338121,1.058447230800421
41084,45256,42.8485855437493,1.1965658085027389
41084,45258,48.372045187794136,1.4065682940121418
41087,42206,25.15949920010334,0.9063373657669404
41087,43391,36.476991104119335,1.1821425683876845
41087,44129,38.57776043318222,1.2063773150504438
41087,45260,32.314824376592206,0.930030063625295
41087,45288,34.99474592049499,1.0831123301709435
41488,42988,32.76881203171699,0.8893624341440937
41488,45244,34.637711067707684,1.0101979132519971
41488,45461,31.13618000927538,0.875024427730063
41504,43595,30.7353735058499,0.7704359473806979
41504,45106,60.36472653353201,1.5142111655952821
41504,45238,37.7700731067614,0.9360548234407674
41504,45241,39.678293921186935,1.098763447340991
41504,45462,40.37059702389971,1.1272130563400162
41596,43906,30.32971127459012,1.0054311872768031
41596,45284,22.411700627127782,0.8067866863913259
41596,45285,46.68515581038581,1.44677603189747
41596,45287,42.86853288847195,1.340545254398733
41596,45288,37.75566305920214,1.1600746599065224
41596,45289,29.958299351098017,0.9449486277651972
41685,42908,48.755335974742316,1.3236203507640845
41685,42913,31.083401616457618,0.8853011619061384
41685,45300,50.896841704078255,1.3074908439467026
41685,45435,39.84387338060896,1.059480782608124
41685,45436,39.48846055231959,1.062552911007719
41700,44158,26.95961668519231,0.78534641434591
41700,44509,39.80254441485366,1.146519998646148
41700,44571,51.78103346653583,1.484073170623236
41700,44582,48.23439973206782,1.38223451120872
41785,45236,37.740945439138116,1.0243615154513095
41785,45237,31.1872521813,0.8510202889705455
41785,45238,32.060481801120815,0.8349494333802439
41785,45239,30.517280590675178,0.9293343732278383
41982,44328,34.2410277497624,1.0835437322878463
41982,44824,34.5005805458401,1.2217659434921142
41982,45286,25.398977565248583,0.8098869774372411
41982,45290,23.943468942699166,1.09758834255268
41982,45293,44.28238129369287,1.5424804484630383
42063,43167,36.12534412906817,1.1057929699021958
42063,43689,36.11939850872932,1.1539870558565872
42063,45170,49.12983244813278,1.4247655256825946
42063,45171,32.9091628109194,0.9583944212090855
42063,45172,33.36816798680443,1.0122750018932305
42206,43391,30.329113406263605,1.0500054805991839
42206,45288,43.89156103444035,1.4422945445852158
42206,45289,34.99634833821953,1.1851415265523355
42206,45452,30.418550680300356,0.8859925291024567
42262,42908,34.6750939789642,0.9385076122622409
42262,43472,31.71163258127841,0.8001777954061978
42262,44805,45.78415485918681,1.2518493604660834
42262,44914,40.31704173100997,1.173775430019391
42262,44961,47.18088310248124,1.22255500967967
42262,45436,43.43299488172674,1.1652046854561715
42350,44129,24.814684350400277,0.8955592363437911
42350,45256,34.78850752202517,1.1904340384971561
42350,45258,34.93888697282726,1.2720989417046817
42375,44404,43.136993835454035,1.2127448152383502
42375,44435,40.734042888473525,1.0514523474911603
42375,44567,31.591226187661682,0.8701562528682334
42375,44661,54.08083775321901,1.380341010895796
42375,44675,38.78542139786546,1.0509391457369686
42375,44681,47.82437672400972,1.227143779435794
42488,45435,41.35329610200376,1.095385257650835
42662,45238,56.11462509480038,1.3622663144796459
42662,45239,33.55960566603845,0.9305272885432989
42662,45240,40.66828542451722,1.1755988016850962
42662,45242,46.31661932783955,1.2130465107214194
42662,45387,51.94348159066738,1.3398602764181171
42662,45388,37.425573713705454,0.9157653919119189
42697,42965,42.86967610327841,1.3075584765749482
42697,43048,30.633601241120843,1.114237585949041
42697,44572,35.77822142043955,1.265679520088957
42697,44617,44.46177172583207,1.3916473522407913
42697,45182,31.563136426692463,0.9402101564806994
