Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1280,1090.11,1090.11,383.751,97.7986,19.4952
1152,1985.92,1985.92,203.786,-202.534,19.4952
576,1933.88,1933.88,246.547,212.764,19.4952
832,1935.58,1935.58,-81.7138,-124.527,19.4952
1216,1493.54,1493.54,403.147,53.9774,19.4955
416,1918.33,1918.33,-263.546,232.885,19.4953
1120,2083.82,2083.82,120.595,-217.103,19.4952
1248,2124.59,2124.59,242.697,-344.733,19.495
1168,2348.24,2348.24,240.161,124.781,19.495
1232,1982.4,1982.4,138.392,-346.67,19.4953
464,1619.2,1619.2,-261.112,-114.887,19.4956
816,2614.18,2614.18,-181.064,86.5161,19.495
944,1483.65,1483.65,395.111,-22.8551,19.4955
1264,1340.88,1340.88,360.832,-278.06,19.4956
648,1562.2,1562.2,274.361,57.3533,19.4955
1224,2622.19,2622.19,157.181,18.5066,19.495
712,2636.23,2636.23,45.6894,7.37652,19.4951
968,1496.82,1496.82,-160.511,17.6833,19.4955
1128,1082.98,1082.98,422.979,-101.975,19.4951
744,1456.77,1456.77,-218.13,18.8335,19.4956
792,764.309,764.309,203.191,322.607,19.4956
1176,2252.24,2252.24,122.152,-34.9737,19.4948
344,856.417,856.417,426.087,-32.2135,19.4956
856,1132.49,1132.49,324.884,143.587,19.4952
1240,915.934,915.934,237.531,-456.631,19.4954
1080,2621.62,2621.62,188.924,-167.432,19.495
568,2786.48,2786.48,16.0679,58.7412,19.4951
632,1836.11,1836.11,-219.068,331.872,19.4954
1272,1137.07,1137.07,-292.621,-178.743,19.4952
504,938.917,938.917,405.378,-191.044,19.4954
1156,2720.16,2720.16,200.481,-100.719,19.4951
644,2001.76,2001.76,-18.0353,319.098,19.4953
388,2113.51,2113.51,-23.4334,123.533,19.4952
1092,1402.16,1402.16,110.919,37.2008,19.4955
836,1845.04,1845.04,83.165,209.526,19.4954
1060,1251.23,1251.23,-144.658,-211.865,19.4954
548,2745.84,2745.84,156.356,99.5383,19.4952
1188,1962.91,1962.91,-32.5901,159.087,19.4953
932,2060.27,2060.27,80.2523,-214.682,19.4952
1252,923.066,923.066,306.632,-350.086,19.4956
740,1061.99,1061.99,318.043,175.227,19.4953
1044,2442.67,2442.67,107.639,-312.131,19.4949
532,2738.12,2738.12,3.1479,-99.1589,19.4951
788,1645.63,1645.63,262.457,89.9017,19.4955
1172,1665.99,1665.99,-102.341,-174.782,19.4955
852,1096.17,1096.17,330.563,49.1801,19.4952
1236,1253.37,1253.37,143.699,-423.307,19.4954
564,987.438,987.438,443.602,-101.425,19.4954
820,2694.03,2694.03,-190.161,263.519,19.4951
1204,2231.07,2231.07,129.529,279.694,19.4948
692,1941.15,1941.15,-64.8457,-265.139,19.4953
1140,2055.67,2055.67,356.751,167.494,19.4952
1268,1028.85,1028.85,408.73,-234.555,19.4954
524,1336.15,1336.15,304.988,-131.085,19.4954
652,1401.17,1401.17,18.3687,415.245,19.4955
844,2205.53,2205.53,-88.9611,66.8338,19.495
1068,1561.22,1561.22,101.84,317.99,19.4956
812,2033.74,2033.74,-181.084,-239.687,19.4952
428,1600.88,1600.88,278.504,141.134,19.4955
940,1291.18,1291.18,404.79,-63.4398,19.4954
1260,1558.14,1558.14,340.382,-101.516,19.4956
540,1463.21,1463.21,-98.3448,162.995,19.4954
1180,2195.19,2195.19,-113.371,43.0206,19.495
668,1921.21,1921.21,-220.16,181.183,19.4953
1244,1322.58,1322.58,219.677,-413.3,19.4954
1084,1646.79,1646.79,342.638,211.951,19.4956
700,2334.11,2334.11,278.401,239.8,19.4947
124,1121.73,1121.73,45.322,430.468,19.4953
892,2156.15,2156.15,51.95,282.534,19.495
764,1347.91,1347.91,-177.248,189.223,19.4954
1026,2050.49,2050.49,90.2745,-83.7642,19.4952
1154,2488.39,2488.39,240.957,-144.166,19.4951
642,2765.44,2765.44,-31.8795,-248.787,19.4952
834,2500.44,2500.44,-88.9086,-67.7765,19.495
1218,1715.29,1715.29,137.986,-185.908,19.4954
450,3068.03,3068.03,0.548888,-230.346,19.4951
674,2119.19,2119.19,317.7,-229.982,19.4951
1122,2311.97,2311.97,121.832,-135.015,19.4948
610,2358.47,2358.47,-229.288,263.492,19.4949
1250,997.627,997.627,249.575,-425.435,19.4954
1170,1267.09,1267.09,214.441,181.694,19.4953
594,2047.38,2047.38,296.949,16.7797,19.4952
338,693.593,693.593,423.207,-166.078,19.4957
1234,1235.61,1235.61,122.933,-388.312,19.4954
1074,2112.14,2112.14,213.491,-242.308,19.4951
818,2556.25,2556.25,67.6761,-320.614,19.4951
946,2100.92,2100.92,375.578,15.0391,19.4952
114,1613.28,1613.28,-210.935,-50.4674,19.4956
626,1389.3,1389.3,-226.344,48.2067,19.4955
1266,1145.07,1145.07,362.653,-326.309,19.4954
754,2114.71,2114.71,265.525,-214.377,19.4952
1034,2551.06,2551.06,-143.314,227.106,19.4951
1162,2358.39,2358.39,263.727,-180.8,19.4949
330,1712.71,1712.71,-119.01,-134.935,19.4955
