genotype,replicate id,time point,cell label,cell id,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,relativeCompleteness,lobyness,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
col-0,20170327 WT S1,0h,26,1,0.0796365601278296,0.3221722527814464,0.0853439842395453,0.3221722527814464,228.038629,226.964127,269.1189394311592,0.8,4.945707723303811,0.995288070250589,1.1801462787743704,1.185733371120623
col-0,20170327 WT S1,0h,43,2,0.1052296228868986,0.1921056476185661,0.097065456709556,0.1921056476185661,196.878071,174.899621,197.58924041703503,0.7859848484848485,4.9451919630969385,0.8883651699330191,1.003612232756156,1.129729380128474
col-0,20170327 WT S1,0h,57,3,0.0984830243313973,0.1617751623725379,0.0645672524918256,0.1617751623725379,159.807752,159.51470600000002,175.7212768991105,0.8399014778325123,4.857151176127602,0.9981662591687043,1.0995791799831494,1.1015992274662783
col-0,20170327 WT S1,0h,66,4,0.0420626992015869,0.184261508995072,0.039510583107902,0.184261508995072,179.979085,187.3296555,197.40882427783427,0.8064516129032258,4.942455406780447,1.0408412483039349,1.0968431375114185,1.0538044483716795
col-0,20170327 WT S1,0h,19,5,0.1230118584407863,0.1323923843928094,0.1061607235114665,0.1408059518941468,226.86644500000003,242.5199855,316.20200053291666,0.7453769559032717,4.868712061285027,1.068998923573735,1.393780382695716,1.303818321945746
col-0,20170327 WT S1,0h,45,6,0.0932190824226113,0.2389476128092421,0.0852990859746155,0.2389476128092421,209.52789,195.217477,211.03670999029544,0.8125,4.967732509981325,0.9317016317016317,1.0072010460769467,1.081033897340531
col-0,20170327 WT S1,0h,52,7,0.1053877896243605,0.1488565558653739,0.0931095243004384,0.1488565558653739,171.82263799999998,182.2990325,214.14742966704293,0.8024193548387096,4.931989424091833,1.060972143263218,1.2463283776788652,1.1747041480707963
col-0,20170327 WT S1,0h,72,8,0.1538736397915493,0.1154560968779582,0.1629691281753934,0.1154560968779582,125.130642,110.917911,124.81944538530752,0.8766666666666667,4.81414620999117,0.886416861826698,0.9975130263081965,1.1253317364163802
col-0,20170327 WT S1,0h,63,9,0.1477830847872999,0.1575691166622242,0.1748153219604278,0.124146235334331,197.903732,187.9157475,229.9661104489388,0.7825311942959001,4.865263253136644,0.9495310957551827,1.1620099738641554,1.2237724273158044
col-0,20170327 WT S1,0h,54,10,0.1361405655789226,0.1144670369885623,0.1434132991410523,0.1240813488932062,133.677817,117.999856,134.03411506836417,0.9015384615384616,4.769567533982181,0.8827183047131896,1.0026653492431297,1.1358837172510123
col-0,20170327 WT S1,0h,44,11,0.1227630522839434,0.1176794739788582,0.1227630522839434,0.1176794739788582,308.235551,320.9586315,365.27552371505953,0.6902748414376322,5.072450909164916,1.0412771351608303,1.1850531923718934,1.138076648719321
col-0,20170327 WT S1,0h,27,12,0.1397862465873344,0.1005235109822561,0.146506965659715,0.1005235109822561,186.865666,184.032888,219.6755314530388,0.7943548387096774,4.879086081157986,0.9848405645582855,1.175579956207893,1.1936754013936834
col-0,20170327 WT S1,0h,23,13,0.0526912869449509,0.094645782846205,0.0526912869449509,0.094645782846205,93.090946,82.932018,84.65167081926818,0.9105263157894736,4.677493640669328,0.8908709338929696,0.9093437595882652,1.020735692447134
col-0,20170327 WT S1,0h,12,14,0.0701229556494308,0.1501814089917865,0.0709434073974549,0.1542644045167766,235.804348,252.801016,262.1600821755189,0.7984126984126985,4.967925965370672,1.072079536039768,1.1117695004314292,1.037021473740908
col-0,20170327 WT S1,0h,20,15,0.08983648931302,0.1966256658919126,0.0956853273398399,0.1999775860554302,218.709998,250.8229555,281.793629925792,0.7162162162162162,5.017589549000542,1.1468289414917374,1.2884350624235843,1.1234762359133112
col-0,20170327 WT S1,0h,17,16,0.1253131113795696,0.1368132275082395,0.1253131113795696,0.1368132275082395,115.557806,109.3305785,119.90437590611477,0.9011857707509882,4.829531496223079,0.9461115807269653,1.0376138147354128,1.0967139985097103
col-0,20170327 WT S1,0h,8,17,0.0960771064533956,0.1240568859992178,0.0263403854143243,0.1240568859992178,135.92450300000002,113.79953,121.29956317589178,0.92,4.76572590394278,0.8372260150916276,0.8924039485058243,1.0659056603827077
col-0,20170327 WT S1,0h,7,18,0.0949602846941147,0.1909857181069208,0.0906612899213856,0.1909857181069208,135.92450300000002,136.92574349999998,153.19376464967746,0.8347578347578347,4.872999250819038,1.0073661516349262,1.1270503939210832,1.1188090766122258
col-0,20170327 WT S1,0h,25,19,0.0712606402264182,0.1203495791457235,0.0563380825217259,0.1203495791457235,184.13057,183.984047,192.1166310426813,0.8043010752688172,4.881147716353912,0.9992042440318303,1.0433717282398098,1.0442026587374789
col-0,20170327 WT S1,0h,35,20,0.0940162619576642,0.1394216138750933,0.0820710133859478,0.1048378106190771,153.165376,159.71007,173.3628854721435,0.791005291005291,4.915454283230906,1.0427295918367347,1.1318673318971482,1.0854850008652772
col-0,20170327 WT S1,0h,34,21,0.1069471386962214,0.1478911303096415,0.0125422632288696,0.1478911303096415,65.788827,60.269794,65.9398417718505,0.869281045751634,4.879313518233282,0.9161098737936154,1.0022954470954544,1.094077769236286
col-0,20170327 WT S1,0h,38,22,0.1160074126368805,0.1854129658133961,0.1273511237845436,0.1854129658133961,198.685188,200.785351,266.38248221376955,0.7285714285714285,5.006127880250308,1.0105703048180923,1.3407264270438193,1.3267027743162874
col-0,20170327 WT S1,0h,51,23,0.0321103858024522,0.1256593350612747,0.0239684249635473,0.1256593350612747,92.602536,84.9100785,88.05697569964586,0.9052631578947368,4.788632906538403,0.9169303797468354,0.9509132201265618,1.037061527385655
col-0,20170327 WT S1,0h,59,24,0.0701213915137126,0.1996360517211588,0.0719327298437901,0.1996360517211588,141.248172,146.76720500000002,158.95479114829794,0.8518518518518519,4.812053690693036,1.0390733056708161,1.12535821807519,1.0830402551325953
col-0,20170327 WT S1,0h,67,25,0.1121980123154116,0.2584895522184183,0.1121980123154116,0.2584895522184183,162.884735,165.4000465,194.7719250105553,0.7763440860215054,4.952152436635024,1.0154422788605697,1.1957653675192785,1.1775808358708975
col-0,20170327 WT S1,0h,68,26,0.0696826697819613,0.2498890570958738,0.0780750289734732,0.2498890570958738,228.136311,235.8776095,252.0398127145261,0.7619047619047619,5.027872571456662,1.0339327767073432,1.1047772781533498,1.0685194463721497
col-0,20170327 WT S1,0h,62,27,0.1165035170758856,0.1730471736044213,0.0840383935923529,0.1936427828507212,259.492233,275.53650150000004,328.8425633588449,0.7121951219512195,5.035469668025429,1.0618294748729533,1.267253973489237,1.193462795559393
col-0,20170327 WT S1,0h,48,28,0.0795553588075582,0.3597277362839711,0.0795553588075582,0.3597277362839711,206.890476,230.6027815,277.55485477554714,0.7932773109243697,4.8828294763774505,1.1146128423040604,1.3415545275053993,1.2036058410490038
col-0,20170327 WT S1,0h,46,29,0.1066100299624914,0.2111699851705857,0.0981901844852573,0.2301896246135144,235.560143,225.303533,265.39706963621967,0.8,4.9401559877835926,0.9564586357039186,1.126663731207786,1.1779534306557886
col-0,20170327 WT S1,0h,61,30,0.0596029289265665,0.1829026507489881,0.0596029289265665,0.1829026507489881,178.513855,183.4712165,197.2473894006398,0.8459770114942529,4.921164080686101,1.0277701778385773,1.104941627083454,1.0750862896286504
col-0,20170327 WT S1,0h,47,31,0.0666809127015634,0.1889821138536913,0.0733804261693378,0.1889821138536913,171.041182,175.4612925,189.75326901773693,0.8645320197044335,4.881419621562165,1.0258423757852657,1.1094010623578183,1.0814537287062154
col-0,20170327 WT S1,0h,56,32,0.0727275174287463,0.2578057591210072,0.075995511589664,0.2578057591210072,171.82263799999998,185.10739,203.79381040708287,0.789247311827957,4.9582708574263865,1.0773166571915862,1.1860707807726878,1.100949078300347
col-0,20170327 WT S1,0h,32,33,0.1137371761384917,0.1333272560978961,0.1208297724003952,0.1333272560978961,213.972421,217.53781400000005,244.59378128538933,0.7476190476190476,5.003403690964477,1.016662862360192,1.143108911617116,1.1243736286022865
col-0,20170327 WT S1,24h,20,1,0.0870991073647376,0.2918739964373763,0.0924501212064924,0.2918739964373763,267.257952,263.155308,300.7987465645113,0.8018018018018018,4.922793257360745,0.9846491228070176,1.1254997066074626,1.1430464726347505
col-0,20170327 WT S1,24h,33,2,0.1029148925444122,0.1645316857760173,0.0968970572236494,0.1645316857760173,227.940947,202.397104,223.3631723970843,0.7899159663865546,4.960915064602988,0.8879365759588601,0.9799168395886515,1.103588776631331
col-0,20170327 WT S1,24h,52,3,0.0925848558230367,0.1570658091814662,0.0925848558230367,0.1570658091814662,179.930244,176.0962255,192.6731690296568,0.8551724137931035,4.862992584027687,0.9786916395222585,1.0708214736242831,1.0941357117825152
col-0,20170327 WT S1,24h,59,4,0.0600917497033826,0.1920042779537178,0.0613677802429728,0.1920042779537178,208.990639,224.082508,241.42802691622083,0.8021390374331551,4.9426319415700615,1.072213133909792,1.1552097647599462,1.077406840324283
col-0,20170327 WT S1,24h,15,5,0.1126690905711343,0.1133837822992711,0.0641040151404197,0.0906040565060391,257.53859300000005,274.291056,336.25159765574625,0.7705802968960864,4.899185602494182,1.0650483595676086,1.3056357640959317,1.225893408845771
col-0,20170327 WT S1,24h,37,6,0.0819436730519979,0.2365951682156456,0.0702764642230969,0.2365951682156456,241.225699,214.998082,230.89435589475963,0.8117647058823529,4.916541001379589,0.89127353715327,0.9571714657763708,1.0739368172352328
col-0,20170327 WT S1,24h,45,7,0.1012926135359041,0.1371101821534584,0.0888547496459292,0.1371101821534584,197.561845,214.7294565,249.31120844130987,0.7896613190730838,4.917406592119482,1.0868974042027193,1.2619400696592495,1.161048011320747
col-0,20170327 WT S1,24h,66,8,0.1560302883906237,0.1262544256327245,0.0919943965441727,0.1262544256327245,142.322674,130.8694595,152.215538970341,0.8461538461538461,4.858960734169483,0.9195264241592312,1.069510111722191,1.1631097091093356
col-0,20170327 WT S1,24h,57,9,0.1322150336401086,0.188536385079869,0.0479916087080063,0.2275929396334974,230.871407,227.940947,264.4182605796776,0.7793650793650794,4.912458870439916,0.987306960016924,1.1453053629100014,1.1600296658400635
col-0,20170327 WT S1,24h,47,10,0.12659632899172,0.0919098880471269,0.1406123297151439,0.0919098880471269,154.923652,135.4605135,149.85070232060826,0.9047619047619048,4.788363935879196,0.8743694829760402,0.9672551633407678,1.1062316128058105
col-0,20170327 WT S1,24h,34,11,0.1136813738254496,0.1150573085563067,0.1136813738254496,0.1150573085563067,371.631169,387.016084,427.6014666083869,0.6852836879432624,5.116720438522736,1.0413983440662373,1.1506071133887774,1.1048674313194355
col-0,20170327 WT S1,24h,21,12,0.1324382787891914,0.0780499761569268,0.1058195617656297,0.0724524371360004,215.681856,213.093283,250.1376209090038,0.7878787878787878,4.885085700103442,0.9879981884057971,1.1597527281525424,1.1738409460283352
col-0,20170327 WT S1,24h,17,13,0.0468623320217827,0.0962102880279964,0.0468623320217827,0.0962102880279964,108.42702,100.221732,103.0653186154786,0.91699604743083,4.778405004648414,0.9243243243243243,0.9505501360775073,1.0283729542358997
col-0,20170327 WT S1,24h,8,14,0.0634454512009327,0.1626661985107233,0.0574030793409049,0.1626661985107233,274.242215,299.9081605,313.2676327657518,0.8008534850640113,4.985092184437034,1.0935886019590384,1.1423027368917356,1.0445452109188331
col-0,20170327 WT S1,24h,16,15,0.0901239636913626,0.1823115037866662,0.0990677506195029,0.1787474116811009,255.682635,298.516192,332.9157209105832,0.7076923076923077,5.070895486580186,1.1675262655205347,1.3020662154494114,1.1152350520087808
col-0,20170327 WT S1,24h,12,16,0.1252398024211478,0.1244222523015416,0.1375988935641554,0.1244222523015416,128.305307,120.63727,133.0947758224373,0.8933333333333333,4.82993300154463,0.9402360106585459,1.037328688379486,1.1032641556165628
col-0,20170327 WT S1,24h,6,17,0.0955142302423341,0.128235425099844,0.0378100858069228,0.128235425099844,159.075137,134.55695500000002,141.8028373432049,0.9002849002849003,4.798262608571367,0.8458704329137243,0.8914204948520956,1.0538499280338567
col-0,20170327 WT S1,24h,5,18,0.0925878037365333,0.1930389292265014,0.0925878037365333,0.1930389292265014,160.88225400000002,164.447647,186.7380662319568,0.8137931034482758,4.848820867253505,1.0221615057680629,1.1607126428745633,1.135547206898964
col-0,20170327 WT S1,24h,19,19,0.0701704414223132,0.1246228212074262,0.0494976974038196,0.1246228212074262,224.424395,224.326713,231.0758545526528,0.8057040998217468,4.893838544059596,0.9995647442872688,1.029637863355509,1.0300862142648735
col-0,20170327 WT S1,24h,25,20,0.0929513377111813,0.2446968521107432,0.0934903975813841,0.2446968521107432,189.942649,200.6144075,227.83660996843983,0.7903225806451613,4.883650884645315,1.0561841090254565,1.1995021190235156,1.1356941548100918
col-0,20170327 WT S1,24h,24,21,0.1230416704505819,0.1434548097361932,0.1272514515506895,0.1434548097361932,77.21762100000001,69.989153,77.75708477933794,0.8473684210526315,4.876470006585592,0.9063883617963313,1.0069862781623113,1.110987652320038
col-0,20170327 WT S1,24h,26,22,0.115891317265754,0.195733080987915,0.125765380537874,0.195733080987915,241.616427,247.477347,322.69200431307934,0.7273954116059379,5.003153543069426,1.0242571255306248,1.3355549054331448,1.3039254227704298
col-0,20170327 WT S1,24h,43,23,0.0399268452999099,0.1302605852394282,0.0396157078523754,0.1302605852394282,108.720066,99.928686,104.64902333794808,0.9004329004329005,4.788015571811778,0.9191374663072776,0.9625548179666124,1.0472370600164609
col-0,20170327 WT S1,24h,51,24,0.0728156383328561,0.1817454317144177,0.0442615376480002,0.1817454317144177,176.218328,184.9364465,197.10651175412983,0.8399014778325123,4.8586648486377175,1.0494733924611972,1.1185358185564547,1.0658067432593923
col-0,20170327 WT S1,24h,61,25,0.1002243872721905,0.2492226232489519,0.1002243872721905,0.2492226232489519,196.682707,199.27128,231.63425948966497,0.7593582887700535,4.946502150324657,1.0131611621554506,1.1777052645999273,1.1624066422901733
col-0,20170327 WT S1,24h,62,26,0.0844307337257653,0.2404540413258275,0.0734486109379325,0.2156826604335338,268.772023,275.023671,299.7657433503884,0.7638326585695007,5.025804555370264,1.0232600399781937,1.115316021379161,1.0899634284584487
col-0,20170327 WT S1,24h,56,27,0.1091988973183433,0.1840945347804177,0.0747362773882021,0.1840945347804177,320.787688,331.7524925,404.9790644801151,0.7101449275362319,4.986994717575589,1.0341808769792935,1.262452019293568,1.22072651641077
col-0,20170327 WT S1,24h,41,28,0.0748898052786299,0.2601045870247356,0.0748898052786299,0.2601045870247356,236.19507600000003,252.3858675,300.38313181750215,0.7724039829302988,4.865827568804196,1.068548387096774,1.271758653501744,1.1901741361072928
col-0,20170327 WT S1,24h,39,29,0.0786659843273821,0.3115993840403145,0.0767607282123532,0.3115993840403145,274.925989,277.7831875,332.57669486927773,0.7678812415654521,4.939577982686268,1.010392609699769,1.2096953659382041,1.1972527850314114
col-0,20170327 WT S1,24h,55,30,0.0624296460756529,0.1873562271338704,0.0652360871971266,0.1873562271338704,200.541146,208.209183,226.6010919570705,0.8286290322580645,4.910546376843456,1.0382367267413541,1.129948125244435,1.0883338030151652
col-0,20170327 WT S1,24h,40,31,0.095806267901564,0.217134203006223,0.1126517075670487,0.217134203006223,201.566807,203.0564575,224.9233425167952,0.8559139784946237,4.867046825315004,1.0073903561909376,1.1158749094874296,1.1076886954791636
col-0,20170327 WT S1,24h,50,32,0.114789982636753,0.3007991473088984,0.0449260874054482,0.3007991473088984,207.232363,221.396253,260.9757755066968,0.7798319327731092,5.021447558385856,1.0683478670751827,1.2593388973067725,1.1787723232456728
col-0,20170327 WT S1,24h,23,33,0.1126407615079832,0.1276237130083704,0.071004394206992,0.1276237130083704,253.582472,258.759618,283.63733239662787,0.7462887989203779,5.039616973899084,1.0204160246533127,1.1185210482395955,1.0961421824197772
col-0,20170327 WT S1,48h,36,1,0.1060989651117945,0.3276994036532869,0.0676044935426482,0.3276994036532869,509.655835,515.4679140000001,590.5725618736939,0.7601809954751131,4.941322881226057,1.011403929084811,1.1587673902991689,1.145701887224922
col-0,20170327 WT S1,48h,53,2,0.1114777119828085,0.2735490452376368,0.1114777119828085,0.2735490452376368,409.531785,354.46355750000004,401.6974221599551,0.7548566142460684,4.994525111256705,0.8655336911150865,0.9808699516692095,1.1332545015151665
col-0,20170327 WT S1,48h,78,3,0.1367623670142097,0.2502611904345437,0.1034613525433678,0.2502611904345437,356.685823,361.4966615,405.5428234819225,0.7780126849894292,4.970469227691508,1.0134876078323976,1.1369748875102401,1.121843896978624
col-0,20170327 WT S1,48h,89,4,0.1037120534582823,0.2706547087392004,0.1037120534582823,0.2706547087392004,406.064074,408.4328625,493.851697900541,0.7730496453900709,4.936760056378155,1.0058335337984123,1.2161915557704348,1.209138008331886
col-0,20170327 WT S1,48h,28,5,0.143158555879152,0.2433681715153742,0.1194519325840633,0.1748504275479144,479.13021,497.20138,635.5096913038745,0.705800139762404,5.083328810555448,1.0377166156982671,1.3263820106519157,1.2781736271606379
col-0,20170327 WT S1,48h,57,6,0.0793985454600146,0.2103077537503735,0.082887994507555,0.2103077537503735,425.746997,405.087254,429.4955893749867,0.7380952380952381,5.101040682945663,0.9514741310083743,1.0088047417865562,1.0602545134016652
col-0,20170327 WT S1,48h,69,7,0.098772983524391,0.1522474318847546,0.098772983524391,0.1522474318847546,395.514418,448.9220515,516.8569802474259,0.7004081632653061,5.038451145901592,1.1350333415658187,1.306796811254112,1.1513290080548113
col-0,20170327 WT S1,48h,99,8,0.1234237835426922,0.1579585514305427,0.1234237835426922,0.1579585514305427,289.480607,280.2740785,323.1782574754671,0.7939024390243903,4.902646337896861,0.9681963894044203,1.1164072813881694,1.1530793686133451
col-0,20170327 WT S1,48h,86,9,0.1171032489241806,0.2322288492134908,0.0839084099557866,0.2313912415960769,416.955617,428.286729,484.7434109070866,0.7668439716312057,4.998474960096616,1.0271758228886025,1.1625779606827713,1.1318198255615028
col-0,20170327 WT S1,48h,74,10,0.1539330486207183,0.122179261431312,0.1104511164293942,0.1113509461601694,300.274468,261.641237,299.00672839354377,0.8690958164642375,4.808024255533282,0.8713402732595965,0.995778063932974,1.1428119352361255
col-0,20170327 WT S1,48h,56,11,0.1364842309992251,0.2841253516345676,0.1475499498129907,0.2841253516345676,636.495912,658.5476235000001,773.330359751647,0.6303030303030303,5.245032758337391,1.0346454880294662,1.2149808744594845,1.1742967891093559
col-0,20170327 WT S1,48h,38,12,0.1039236758843657,0.0734991250629397,0.0719381260229904,0.0734991250629397,396.344715,402.791727,450.0531244384519,0.7429078014184397,4.984651660073778,1.0162661737523104,1.1355093367107265,1.1173345783203037
col-0,20170327 WT S1,48h,32,13,0.104082411338799,0.1034640722317534,0.0558064809832297,0.1034640722317534,183.886365,166.987379,178.27209183441508,0.896551724137931,4.781113809015768,0.9081009296148738,0.9694687903282827,1.067578237960218
col-0,20170327 WT S1,48h,12,14,0.1298276905504339,0.2274960296176672,0.1298276905504339,0.2274960296176672,486.260996,510.3640295,595.5267142898308,0.7300150829562594,5.076341110612285,1.0495680996384091,1.2247059072980446,1.1668665498884474
col-0,20170327 WT S1,48h,29,15,0.0928338078105983,0.3528881298312876,0.0840878037380846,0.3528881298312876,500.082999,590.3655875000001,675.027425269268,0.6585213032581454,5.220610206909721,1.1805352085164569,1.349830781328497,1.1434057803534625
col-0,20170327 WT S1,48h,18,16,0.1023455885453266,0.1408599090285704,0.1023455885453266,0.1408599090285704,270.725663,262.715739,284.25027041348545,0.8108108108108109,4.924661083388657,0.9704131336821216,1.0499568724428074,1.0819689429169885
col-0,20170327 WT S1,48h,9,17,0.1838697141230466,0.203645985054004,0.13919992199118,0.2229730618360655,292.752954,252.99638,289.63896470635564,0.8191632928475033,4.90513200378542,0.8641975308641975,0.989363081563835,1.1448344229524376
col-0,20170327 WT S1,48h,8,18,0.0610742714189956,0.2368593045804616,0.0610742714189956,0.2368593045804616,319.273617,336.1970235,373.56825596552943,0.7828106852497096,4.888815208966052,1.0530059660394677,1.1700567665931803,1.11115872495382
col-0,20170327 WT S1,48h,34,19,0.1632760373580506,0.201653757476476,0.1592183269302754,0.1468078499518786,450.753589,432.1207475000001,491.3317344734534,0.7420408163265306,5.025243110347007,0.9586629103911586,1.0900229004576012,1.137024170480158
col-0,20170327 WT S1,48h,46,20,0.0857305418646039,0.25955352222392,0.0857305418646039,0.25955352222392,363.86545,402.4742605,457.590751736045,0.7478260869565218,4.899484530856273,1.1061073825503356,1.2575823061410336,1.136944139403034
col-0,20170327 WT S1,48h,43,21,0.1032864330475154,0.1518580999399372,0.0993937416499624,0.1518580999399372,155.705108,147.5242405,164.16387707749695,0.774712643678161,4.980085501296305,0.9474592220828105,1.0543255721417755,1.1127925588438936
