genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT inflorescence meristem,P1,T0,512,0.0626747189576124,0.2944313292862182,28.3373,31.5065,36.80830727744838,1.1118384602626221,1.2989348765566366,1.1682766183945656
WT inflorescence meristem,P1,T0,640,0.0463969171021121,0.2980283483958003,47.7761,50.6183,57.902407441794615,1.0594899960440471,1.2119534127271714,1.1439026486822872
WT inflorescence meristem,P1,T0,384,0.0926521986499364,0.1482203207859732,58.3641,57.585,62.64420772762339,0.9866510406225745,1.0733345965691818,1.0878563467504279
WT inflorescence meristem,P1,T0,576,0.0988022037818512,0.1601632655766873,44.7538,41.6877,43.83183802029109,0.9314896165241835,0.9793992469978212,1.051433348932445
WT inflorescence meristem,P1,T0,704,0.094074872341981,0.1688827711439728,29.4835,28.3048,30.676736105783192,0.9600217070564893,1.0404713180519,1.0837997832799804
WT inflorescence meristem,P1,T0,448,0.0905809136012988,0.2193984490946371,41.0202,40.8999,44.622567908524935,0.9970672985504703,1.0878193648135537,1.0910189978098952
WT inflorescence meristem,P1,T0,672,0.0400292004645691,0.1380445010484062,45.7451,49.1237,51.08179611900445,1.0738570907047968,1.1166615903999435,1.0398605178153204
WT inflorescence meristem,P1,T0,608,0.0820787487693203,0.1619852452067056,33.1261,35.1579,37.64179743764476,1.0613353216949777,1.1363184147136174,1.0706497668417272
WT inflorescence meristem,P1,T0,352,0.0763956054204649,0.2364437434639376,34.5775,35.1423,39.64886330409588,1.016334321451811,1.146666569419301,1.1282375742081732
WT inflorescence meristem,P1,T0,400,0.0602726662665643,0.168183181330664,24.9206,22.2129,23.376416905296303,0.8913469178109676,0.9380358781608911,1.0523802342466
WT inflorescence meristem,P1,T0,592,0.1132260033024536,0.284655165287599,36.4405,36.7415,41.100764311424186,1.008260040339732,1.127886947528826,1.1186468791808768
WT inflorescence meristem,P1,T0,720,0.1253871362340533,0.1795049665938816,33.9077,33.3206,36.717382949496425,0.9826853487555924,1.082862681617934,1.1019424304933412
WT inflorescence meristem,P1,T0,464,0.0180584123374788,0.1545055697312037,34.5786,36.1328,37.78221669796362,1.0449468746565795,1.0926473801126597,1.0456487373788805
WT inflorescence meristem,P1,T0,560,0.1077107943914615,0.1996085064857127,26.7803,23.8173,27.821919959004823,0.8893589690929526,1.038895007113618,1.168139124040291
WT inflorescence meristem,P1,T0,624,0.0135615424175706,0.1843970132330224,27.3349,26.0781,27.943772256241587,0.9540221475110572,1.0222745375414428,1.071541724904866
WT inflorescence meristem,P1,T0,752,0.1195166469722717,0.2697123171302349,33.8151,27.1568,32.757784232860224,0.8030968413519404,0.9687324370727937,1.2062461053165403
WT inflorescence meristem,P1,T0,496,0.1244241119035368,0.2378766619618056,25.3239,21.8299,24.99426422048636,0.8620275707928083,0.9869832142950479,1.144955506918784
WT inflorescence meristem,P1,T0,456,0.0793718520638736,0.2955550334763502,34.566,32.7507,36.39230742364616,0.9474830758548863,1.0528353707008666,1.1111917431885778
WT inflorescence meristem,P1,T0,680,0.1029149840319537,0.241930480545598,39.2634,36.1621,39.25679119386013,0.9210129535394287,0.9998316802380878,1.0855783041875369
WT inflorescence meristem,P1,T0,424,0.0798196965509074,0.1634398128578612,28.5735,29.9849,31.783639380067854,1.0493954188321346,1.1123467331642205,1.0599881733828644
WT inflorescence meristem,P1,T0,536,0.1230580105330545,0.3030698726133681,42.6849,37.5627,43.49318804299891,0.8799997188701391,1.0189361587586925,1.1578823684931836
WT inflorescence meristem,P1,T0,408,0.121899906462277,0.3220007324728531,28.364,30.1172,35.21004687800604,1.0618107460160766,1.2413639429560723,1.169100941588396
WT inflorescence meristem,P1,T0,600,0.0830216874988191,0.2188538288173152,34.6046,31.3692,33.586836163593546,0.9065037596157737,0.9705887703829418,1.0706946993737025
WT inflorescence meristem,P1,T0,728,0.0438296246789326,0.1954662289919224,46.7577,46.0821,48.63953642291965,0.9855510429298275,1.0402465566723693,1.055497393194313
WT inflorescence meristem,P1,T0,472,0.0405229362454506,0.1930900968223919,34.189,37.4155,39.13132735142787,1.094372458978034,1.1445589912377627,1.0458587310453653
WT inflorescence meristem,P1,T0,568,0.0757676564960442,0.2165048706489117,42.7964,42.4634,46.79679049954566,0.9922189716892076,1.0934749301236941,1.1020500124706372
WT inflorescence meristem,P1,T0,696,0.0475315912938772,0.2870645094395468,38.2825,38.3864,44.38494656431853,1.002714033827467,1.1594056439448452,1.1562674948502212
WT inflorescence meristem,P1,T0,440,0.0749815596125095,0.2160522317868792,37.9161,40.2632,43.24310899942645,1.061902463597258,1.1404946447400035,1.0740107343536145
WT inflorescence meristem,P1,T0,632,0.0857924890651173,0.2190457775983375,30.5969,30.909,33.27404668011997,1.0102003797770363,1.0874973177060412,1.0765164411698849
WT inflorescence meristem,P1,T0,376,0.0703777365378713,0.1370636388481277,24.8493,24.1198,25.75695750144722,0.9706430362223484,1.0365264816895132,1.0678760811220334
WT inflorescence meristem,P1,T0,760,0.0970776893615054,0.2495773579969866,42.3972,45.0387,56.04388932486171,1.0623036426933854,1.3218771363406479,1.244349622099699
WT inflorescence meristem,P1,T0,504,0.0946297568984595,0.1760011173109853,23.6932,24.1263,25.552443427547548,1.0182795063562542,1.0784716048295522,1.0591115681868977
WT inflorescence meristem,P1,T0,516,0.0934548766487736,0.2313444874161103,32.375,32.9341,35.527577677893504,1.017269498069498,1.0973769166916914,1.0787474890127102
WT inflorescence meristem,P1,T0,580,0.0747646017466809,0.2573168502013168,50.0834,51.7545,54.84046559580999,1.0333663449366457,1.0949828804715733,1.0596270004697175
WT inflorescence meristem,P1,T0,708,0.1223468225656051,0.2303170639134588,43.0895,41.3483,46.04021692479184,0.9595910836746772,1.0684787923923889,1.113473030929732
WT inflorescence meristem,P1,T0,452,0.1122131931504881,0.2310621322041693,31.2308,30.9662,34.75799890763615,0.9915275945540941,1.1129397552299702,1.1224496033622513
WT inflorescence meristem,P1,T0,548,0.0538232246344009,0.243558960041048,27.9166,31.7196,34.70438730469397,1.1362271909903068,1.2431452005148895,1.094099147047692
