genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R1M001A,96h,45312,0.5379595369750806,0.3303745207406876,0.0886294085313174,0.6686923707928327,0.2262229114284789,0.0622481024996488,1220.93,1237.72,1419.1641138688929,1.0137518121432023,1.162363209904657,1.146595444744282
speechless,20210712_R1M001A,96h,45248,0.8896232103313897,0.1124039565623812,0.0287271505805911,0.6613192607233799,0.2301299054332689,0.0571536095065743,997.509,996.462,1055.1890865877908,0.9989503854100564,1.0578241264868695,1.0589356007432202
speechless,20210712_R1M001A,96h,41504,0.6048135355952515,0.3433128078289381,0.0961708863239812,0.5432899932799997,0.4533837081749975,0.1231377008457506,1314.5,1061.43,1312.6027752148786,0.8074781285659948,0.9985566947241374,1.236636212670528
speechless,20210712_R1M001A,96h,45280,0.6197807835741508,0.3512696973458646,0.0965383960252101,0.5671362231268195,0.3780983113137247,0.104238874389432,918.485,716.635,917.6402375371696,0.7802359319967119,0.9990802653686991,1.2804848179856825
speechless,20210712_R1M001A,96h,41488,0.7064122017604055,0.1589544422668384,0.0379909258884597,0.6450885268802667,0.3319438461702386,0.0925058946652492,1135.89,1230.99,1317.4639988681174,1.0837228957029288,1.1598517452113473,1.07024752343083
speechless,20210712_R1M001A,96h,45328,0.7117287324703172,0.2744804030094236,0.0744240149071842,0.5431799409730038,0.3903371607940726,0.1073177537385413,1594.91,1622.25,2468.877144503123,1.0171420330927763,1.5479727034773891,1.5218845088630748
speechless,20210712_R1M001A,96h,44304,0.5442386503417274,0.3032332343913796,0.0784263072047728,0.7007014874179351,0.2783951495226435,0.0758708372192315,1206.07,1348.04,1648.779620997124,1.1177129022361887,1.3670679322071888,1.2230939890486365
speechless,20210712_R1M001A,96h,43472,0.5929205959907182,0.2800935573661264,0.0772892660550661,0.5942717176643831,0.3210255944517605,0.0884220545860108,1754.55,1825.3,2276.4995416727893,1.0403237297312702,1.297483424053341,1.2471919912741956
speechless,20210712_R1M001A,96h,45168,0.6217487156426504,0.2384557720110075,0.0640529334522252,0.4024921253527975,0.5024331019619259,0.1269909987027144,1417.76,1253.43,1547.1527454626505,0.8840918067938156,1.09126562003629,1.2343351806344594
speechless,20210712_R1M001A,96h,45256,0.6861658272232107,0.2278245851937649,0.0630739677189547,0.539348573587425,0.4458389826446302,0.1224156727436578,1329.29,1534.76,1872.7131811722904,1.1545712372770427,1.4088070933899228,1.2201993674400495
speechless,20210712_R1M001A,96h,43048,0.496561288083792,0.3733385292657028,0.0971515539573774,0.6418460761293093,0.228528277744366,0.0601187859541428,478.767,303.789,354.844052225871,0.6345236827099612,0.7411623028025554,1.1680608982743648
speechless,20210712_R1M001A,96h,44328,0.6058995703298221,0.2875994172416529,0.0780793000798335,0.5315424075665885,0.4083036254195238,0.1072654607062973,1455.39,1588.96,1864.1269054416573,1.09177608750919,1.2808435577004496,1.1731742180052722
speechless,20210712_R1M001A,96h,45160,0.642924332190627,0.222771666742528,0.0592560943253784,0.6287078728382715,0.3534389336568287,0.0945910177253625,1338.77,1598.13,1759.9792930668548,1.1937300656572825,1.314624090072869,1.101274172355725
speechless,20210712_R1M001A,96h,44648,0.6400233985422068,0.2887191574081132,0.0816815559543725,0.360023230254394,0.5889705670845123,0.1561377074712305,1602.05,1656.17,2556.5669483060938,1.0337817171748698,1.5958097114984513,1.543662153224665
speechless,20210712_R1M001A,96h,45288,0.5605596852230383,0.3508303521977209,0.0974463335314599,0.41887098719547,0.5072073858774336,0.1324573803142651,1199.4,1483.34,1822.607986943532,1.2367350341837584,1.519599789014117,1.2287189632474902
speechless,20210712_R1M001A,96h,44824,0.6935444482675388,0.1876233028453415,0.0503475123047856,0.595851372196442,0.4023228001772729,0.1110896693368713,1052.95,1110.82,1235.542440481913,1.0549598746379218,1.1734103618233658,1.1122796136925093
speechless,20210712_R1M001A,96h,45272,0.5216630221441261,0.409417079451668,0.1085583715763273,0.6470141276064105,0.2697553145998235,0.0728289474745337,1200.44,1198.44,1673.707896658831,0.9983339442204525,1.394245357251367,1.3965721243106297
speechless,20210712_R1M001A,96h,45240,0.6420991799930277,0.3203133443379467,0.0890338343738734,0.4910048108433276,0.3923335546400851,0.1038996295515675,941.655,1030.12,1390.2839908880912,1.0939462966797817,1.4764260699386627,1.3496330436144248
speechless,20210712_R1M001A,96h,44984,0.4651192651081389,0.4155707571713382,0.1032747965347502,0.4389755739156484,0.4396393342076936,0.1130203867465624,2055.43,1950.47,2712.5089541180027,0.9489352592888107,1.3196795581060912,1.3906950397176079
speechless,20210712_R1M001A,96h,45176,0.6119880679739669,0.2353056086080641,0.0586597781828749,0.4338702387275466,0.437237137571871,0.1103766733085541,1733.16,1917.93,2248.409110273492,1.1066087377968565,1.297288830963957,1.1723103086522928
speechless,20210712_R1M001A,96h,42488,0.6668637641604945,0.2273101874270389,0.0623779365718477,0.8883591842609823,0.0977075773092664,0.0249728097552479,1391.98,1197.58,1274.733686443648,0.8603428210175433,0.915770116268659,1.0644246617709447
speechless,20210712_R1M001A,96h,45380,0.6429856546554013,0.3378097617775465,0.0903183844892928,0.5023636163144385,0.438622499807776,0.1244047857600619,1779.13,1649.99,2331.5434339004078,0.9274139607560998,1.310496385255944,1.413065190637766
speechless,20210712_R1M001A,96h,45092,0.5742876158655182,0.2853803837509348,0.0760054011641618,0.4465605254552455,0.4935255493540164,0.1360966344285985,1560.14,1603.78,1914.0242391507388,1.0279718486802465,1.226828514845295,1.1934456341585122
speechless,20210712_R1M001A,96h,45348,0.4927254933729109,0.3445618403574066,0.0759875299456756,0.4380632881857952,0.473255791242007,0.127944926566878,1150.04,926.703,1248.7483409706936,0.8058006678028591,1.085830354570879,1.3475173178145463
speechless,20210712_R1M001A,96h,45156,0.6499049348471563,0.2760135613225319,0.076407383384379,0.4560520920886453,0.4357103269563291,0.1156645804810892,658.339,506.274,581.9633467223057,0.769017178079986,0.8839873480415191,1.149502733149057
speechless,20210712_R1M001A,96h,45284,0.6688241072588816,0.2441931696388626,0.065189804834326,0.7807043650117939,0.1839387450697705,0.0500180181421978,624.272,407.535,451.5699962205998,0.6528164005433529,0.7233545573413509,1.1080520598736299
speechless,20210712_R1M001A,96h,41700,0.6758092684573632,0.2471065054997233,0.0686189820567874,0.7602581267516193,0.1896956927191488,0.0527310838273905,857.626,737.273,813.580652522475,0.859667267550191,0.9486427096688709,1.1034998603264665
speechless,20210712_R1M001A,96h,45460,0.6717602350738372,0.2856893871527003,0.0785959590597436,0.6911835023375055,0.3655914366219656,0.0947066421115966,1153.77,1125.0,1289.6603789273745,0.9750643542473804,1.1177794351797798,1.1463647812687774
speechless,20210712_R1M001A,96h,44436,0.5737663065073323,0.370361298471642,0.102539941441206,0.6673750081252483,0.3312856539347087,0.0860500369631471,1440.2,1479.4,2136.718130139184,1.0272184418830719,1.483625975655592,1.4443139990125617
speechless,20210712_R1M001A,96h,45236,0.7161306600191981,0.2543003701961799,0.071284573110137,0.6157457051289712,0.3084071388145877,0.0866473570020388,1707.83,1828.15,2263.5893271658897,1.0704519770703174,1.325418412351282,1.2381857764220057
speechless,20210712_R1M001A,96h,45172,0.8796800884816091,0.1308152576860279,0.0319826928028358,0.8331268138465778,0.1448288624639506,0.0384219746067919,1144.36,883.444,906.2821167056136,0.7719983222062987,0.7919554307260073,1.0258512330216898
speechless,20210712_R1M001A,96h,43636,0.6111572848217003,0.311869381724927,0.0843099342597553,0.6735166986940497,0.2707953035288438,0.0738539944861513,1427.53,1486.98,1905.056302767628,1.0416453594670516,1.334512271383178,1.2811579865012495
speechless,20210712_R1M001A,96h,44404,0.4826871966758291,0.4507531982861075,0.1231335178200485,0.5886044927449244,0.4187008071869914,0.1158821951076512,1133.47,1132.03,1408.6247026587175,0.9987295649642248,1.2427542878582738,1.244335134809782
speechless,20210712_R1M001A,96h,45300,0.542511401954354,0.3667899034170594,0.1025231746266084,0.2981714537269964,0.7033141390051851,0.1814436363400948,1660.56,1660.17,2363.8839693301843,0.9997651394710219,1.4235462550767117,1.423880668443704
speechless,20210712_R1M001A,96h,45452,0.5582928838570483,0.4037627719838709,0.1119758585586185,0.6156001023274994,0.3260992580255107,0.0910901120123359,1704.69,1701.84,2177.511130638648,0.9983281417735775,1.2773648760998468,1.2795040254305035
speechless,20210712_R1M001A,96h,45388,0.7783045556743009,0.1313287841287403,0.0360553369098091,0.488744398547888,0.5847258271358051,0.162939511012292,1888.61,1920.58,2337.8520348976585,1.0169277934565633,1.237869139154012,1.2172635531441849
speechless,20210712_R1M001A,96h,45260,0.6016131471763365,0.4315474178601815,0.1111774609090865,0.5505431566666976,0.4546161665056635,0.1206790929465258,1526.17,1534.02,2015.2494921461096,1.0051435947502572,1.320462001052379,1.3137048357557983
speechless,20210712_R1M001A,96h,45164,0.7463771177865525,0.2266103245856448,0.0630120744534464,0.4857985467732906,0.3974100442167934,0.1082193668060293,1525.63,1724.75,1891.318584556037,1.1305165734811191,1.2396967708789397,1.096575494741868
speechless,20210712_R1M001A,96h,44652,0.678371049586749,0.2191551890310587,0.0609315962026092,0.801507100356148,0.1366977177369175,0.0376998111790811,1507.46,1663.67,1866.667595533143,1.1036246401231211,1.2382866514090873,1.1220179455860495
speechless,20210712_R1M001A,96h,45292,0.6493125425745655,0.3410333747965602,0.0901900746819771,0.4239385646723886,0.4666057678947525,0.1210960051774582,1639.62,1623.38,2525.909304668741,0.990095265976263,1.5405455560853984,1.555956895285602
speechless,20210712_R1M001A,96h,42988,0.5487158215043652,0.3949067008739351,0.1111809046138432,0.6023403655251836,0.3003512729931891,0.0844471071565031,1579.26,1334.52,1734.5407513260593,0.8450286843205045,1.0983250074883548,1.2997487870740485
speechless,20210712_R1M001A,96h,44572,0.5344036545372187,0.4298567727252256,0.1196124979872744,0.617087425052393,0.3193145182711175,0.0840397844665951,565.209,383.684,513.0105023288174,0.6788356165595383,0.9076474407322203,1.3370651430052267
speechless,20210712_R1M001A,96h,45468,0.6363525634041084,0.2667051348167703,0.0733123770373269,0.4118064677995424,0.5149950686360887,0.1351689468713521,1640.39,1591.14,2267.1848729043945,0.9699766518937569,1.382101130160751,1.4248808231232917
speechless,20210712_R1M001A,96h,42908,0.6161216217887384,0.3212874318064559,0.0883150218549359,0.5758818471843598,0.3848134864908441,0.1060345657739318,1343.53,1317.04,1530.8089366657496,0.9802832835887549,1.1393931930554209,1.1623101323162164
speechless,20210712_R1M001A,96h,45276,0.6006096258703475,0.3638658892425678,0.0997981435346139,0.3981722813556074,0.5410461573563548,0.1465468605371625,582.395,447.659,568.1313815936538,0.7686518599919299,0.9755086867051638,1.2691164068937604
speechless,20210712_R1M001A,96h,45020,0.7140300644453401,0.2200273525727889,0.0619563850324593,0.64349190038636,0.2663988066296496,0.0749079892323735,1229.32,1025.9,1113.785430368294,0.8345264048417013,0.9060174977778724,1.0856666637764831
