genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200220 WT S1,120h,841728,0.60111333963318,0.25232126328187,0.0676092057268864,0.4097723034749198,0.4476122559682005,0.1069070988574295,237.688,242.375,307.1689613127393,1.01971912759584,1.2923200216785844,1.2673293916977384
WT,20200220 WT S1,120h,841984,0.749440446371457,0.1515759568642751,0.0424402908660886,0.5358064993482411,0.4077610348098316,0.115376540313325,521.273,568.25,666.8088603611723,1.0901197644996,1.2791931681885926,1.173442781101931
WT,20200220 WT S1,120h,842496,0.7953857107006072,0.1290926044540419,0.0356938328395459,0.5781735547652804,0.3724997617684742,0.1062292129735453,624.875,671.5,738.9680153136468,1.074614922984597,1.1825853415701488,1.1004735894469795
WT,20200220 WT S1,120h,841856,0.519251095841211,0.3439461632803686,0.090602785493203,0.7050200969953435,0.2180635106023954,0.060834739747864,545.0,497.5,606.8079022929496,0.9128440366972477,1.1134089950329351,1.2197143764682405
WT,20200220 WT S1,120h,842368,0.5385642717412799,0.2905165949465074,0.0685003828429284,0.5525875001416354,0.4001011125516369,0.1116786446196888,207.875,191.5,226.47597836760767,0.9212266987372218,1.0894815555868078,1.1826421846872464
WT,20200220 WT S1,120h,841792,0.6456420872162798,0.2423983533459471,0.0680590374181387,0.3233230296990488,0.705564523726812,0.1799546792568021,526.25,505.937,589.5915765341097,0.9614004750593824,1.1203640409199234,1.165345836604379
WT,20200220 WT S1,120h,842304,0.8859557236953286,0.0870564320458579,0.023810829324812,0.7182813464059835,0.2542068356542252,0.0698151641635644,113.0,109.875,113.68888273278796,0.9723451327433629,1.006096307369805,1.0347111056453966
WT,20200220 WT S1,120h,842048,0.7256699662093796,0.2389447185898264,0.0663305609503084,0.5290394299618308,0.4979656630371766,0.1290430475377596,145.0,100.938,114.3566135975364,0.6961241379310344,0.7886663006726647,1.1329391665927242
WT,20200220 WT S1,120h,841920,0.848176550763576,0.1065535842421094,0.0295556351649633,0.5175459386514497,0.5468788733901271,0.1439990270332297,113.563,85.5625,122.68330597539736,0.7534364185518171,1.0803105410688107,1.4338443357241473
WT,20200220 WT S1,120h,842688,0.6152472092268507,0.2391009535843684,0.0609720097747942,0.3473196165084365,0.7225957977466329,0.1871716595340307,318.25,279.25,402.17708116722525,0.8774548311076198,1.2637143163149263,1.4402044088351844
