test type,group1,group2,mean difference,lower conf. interval,upper conf. interval,reject,adjusted p-value
between groups,cotyledon_WT_0,cotyledon_WT_96,0.013387488741712583,-0.02798530566204291,0.054760283145468075,False,0.9400102968516949
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_0,0.003993677080710967,-0.038950027010223126,0.04693738117164506,False,0.9998200346442384
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_96,0.01738116582242355,-0.025562538268510543,0.06032486991335764,False,0.856873497339554
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT+Oryzalin_96,0.013249976367639249,-0.031209165834207138,0.057709118569485636,False,0.9574180394861077
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_0,-0.009256299286928282,-0.052200003377862375,0.03368740480400581,False,0.9898483084883384
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_96,0.004131189454784301,-0.03881251463614979,0.047074893545718394,False,0.9997874303260259
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_0,0.025100928618417395,-0.014166767263886826,0.06436862450072162,False,0.44873036605100736
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_96,0.03848841736012998,-0.0007792785221742426,0.0777561132424342,False,0.0584547873813015
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_0,0.02110725153770643,-0.019812249243454386,0.06202675231886724,False,0.6806050425429201
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_96,0.03435722790534568,-0.006562272875815137,0.07527672868650649,False,0.15764170713693826
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_$\it{ktn1}$-$\it{2}$_96,0.016957212411949585,-0.02008594840128073,0.0540003732251799,False,0.7802240975978578
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_0,0.00814371620646781,-0.03112397967583641,0.04741141208877203,False,0.9914991240526752
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_96,0.021531204948180394,-0.017736490934123827,0.060798900830484615,False,0.6202923606612266
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_0,0.004150039125756844,-0.03676946165540397,0.04506953990691766,False,0.9997244545893754
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_96,0.017400015493396093,-0.02351948528776472,0.05831951627455691,False,0.8291928180663146

self.betweenGroupingLetters={'cotyledon_WT_0': 'A', 'cotyledon_WT_96': 'A', 'cotyledon_WT+Oryzalin_0': 'A', 'cotyledon_WT+Oryzalin_96': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_0': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_96': 'A'}
