test type,group1,group2,mean difference,lower conf. interval,upper conf. interval,reject,adjusted p-value
between groups,cotyledon_WT_0,cotyledon_WT_96,0.03031945908242964,0.016490024144120576,0.0441488940207387,True,1.0491063684447965e-08
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_0,-0.008912336086638772,-0.023266869549857336,0.005442197376579789,False,0.4827305909020695
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_96,0.021407122995790867,0.007052589532572305,0.03576165645900943,True,0.0003354867108932291
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT+Oryzalin_96,-0.00104972610687952,-0.015910815945124883,0.013811363731365845,False,0.9999537410380955
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_0,-0.007862609979759252,-0.022217143442977816,0.006491923483459309,False,0.6213753467704115
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_96,0.022456849102670387,0.008102315639451825,0.03681138256588895,True,0.00013429131009867756
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_0,-0.0049661508465600745,-0.018091927173922173,0.008159625480802023,False,0.8886429333482079
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_96,0.025353308235869565,0.012227531908507467,0.038479084563231666,True,7.448321536207558e-07
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_0,0.003946185240078698,-0.009731729967644933,0.017624100447802327,False,0.9629075723020097
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_96,0.002896459133199178,-0.010781456074524453,0.016574374340922807,False,0.9906413114462794
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_$\it{ktn1}$-$\it{2}$_96,0.012833048493930979,0.00045085411333126504,0.025215242874530693,True,0.03716509184502481
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_0,-0.017799199340491054,-0.03092497566785315,-0.004673423013128956,True,0.0016332025256989846
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_96,0.012520259741938586,-0.0006055165854235121,0.025646036069300684,False,0.07146285194432422
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_0,-0.008886863253852281,-0.02256477846157591,0.004791051953871349,False,0.42962040532273416
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_96,-0.009936589360731801,-0.02361450456845543,0.0037413258469918293,False,0.30078373686480575

self.betweenGroupingLetters={'cotyledon_WT_0': 'A', 'cotyledon_WT_96': 'B', 'cotyledon_WT+Oryzalin_0': 'AC', 'cotyledon_WT+Oryzalin_96': 'AC', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_0': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_96': 'BC'}
