test type,group1,group2,mean difference,lower conf. interval,upper conf. interval,reject,adjusted p-value
between groups,cotyledon_WT_0,cotyledon_WT_96,0.024846732810574007,0.008038106138335908,0.041655359482812106,True,0.0003935607203644498
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_0,-0.011292233869587137,-0.02873907787396635,0.006154610134792075,False,0.43412274718441757
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_96,0.01355449894098687,-0.003892345063392342,0.03100134294536608,False,0.22949375523535986
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT+Oryzalin_96,-0.005505687048186214,-0.02356821181134188,0.012556837714969453,False,0.9531814441103744
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_0,-0.005786546821400923,-0.023233390825780135,0.011660297182978289,False,0.9336570261803242
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_96,0.019060185989173084,0.0016133419847938722,0.03650702999355229,True,0.022961653317309927
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_0,-0.014706407569793564,-0.030659790701794917,0.0012469755622077881,False,0.09043345571031014
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_96,0.010140325240780443,-0.0058130578912209095,0.026093708372781795,False,0.4553513262536455
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_0,-0.003414173700206427,-0.02003863966043788,0.013210292260025024,False,0.9918748173560593
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_96,-0.008919860748392641,-0.025544326708624093,0.00770460521183881,False,0.6423771336356978
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_$\it{ktn1}$-$\it{2}$_96,0.02894965075159954,0.01390003493902224,0.04399926656417684,True,8.42065124184721e-07
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_0,-0.043656058321393104,-0.05960944145339446,-0.027702675189391752,True,1.6564527527407336e-13
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_96,-0.018809325510819097,-0.03476270864282045,-0.0028559423788177447,True,0.010311042652609625
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_0,-0.03236382445180597,-0.04898829041203742,-0.015739358491574516,True,5.884779531450945e-07
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_96,-0.03786951149999218,-0.054493977460223636,-0.02124504553976073,True,2.3484907352155915e-09

self.betweenGroupingLetters={'cotyledon_WT_0': 'A', 'cotyledon_WT_96': 'B', 'cotyledon_WT+Oryzalin_0': 'AB', 'cotyledon_WT+Oryzalin_96': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_0': 'AB', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_96': 'C'}
